"","DEPT","SP","GR","CALI","BITSIZE","LL8","ILM","ILD","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1",20,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",20,NA,NA,NA,NA,NA,NA,NA
"2",20.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",20.5,NA,NA,NA,NA,NA,NA,NA
"3",21,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",21,NA,NA,NA,NA,NA,NA,NA
"4",21.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",21.5,NA,NA,NA,NA,NA,NA,NA
"5",22,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",22,NA,NA,NA,NA,NA,NA,NA
"6",22.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",22.5,NA,NA,NA,NA,NA,NA,NA
"7",23,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",23,NA,NA,NA,NA,NA,NA,NA
"8",23.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",23.5,NA,NA,NA,NA,NA,NA,NA
"9",24,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",24,NA,NA,NA,NA,NA,NA,NA
"10",24.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",24.5,NA,NA,NA,NA,NA,NA,NA
"11",25,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",25,NA,NA,NA,NA,NA,NA,NA
"12",25.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",25.5,NA,NA,NA,NA,NA,NA,NA
"13",26,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",26,NA,NA,NA,NA,NA,NA,NA
"14",26.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",26.5,NA,NA,NA,NA,NA,NA,NA
"15",27,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",27,NA,NA,NA,NA,NA,NA,NA
"16",27.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",27.5,NA,NA,NA,NA,NA,NA,NA
"17",28,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",28,NA,NA,NA,NA,NA,NA,NA
"18",28.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",28.5,NA,NA,NA,NA,NA,NA,NA
"19",29,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",29,NA,NA,NA,NA,NA,NA,NA
"20",29.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",29.5,NA,NA,NA,NA,NA,NA,NA
