"","DEPT","SP","GR","CALI","BITSIZE","SFL_A","ILM","ILD","LLD","LLS","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",98,NA,NA,NA,NA,NA,NA,NA
"2",98.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",98.5,NA,NA,NA,NA,NA,NA,NA
"3",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",99,NA,NA,NA,NA,NA,NA,NA
"4",99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",99.5,NA,NA,NA,NA,NA,NA,NA
"5",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",100,NA,NA,NA,NA,NA,NA,NA
"6",100.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",100.5,NA,NA,NA,NA,NA,NA,NA
"7",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",101,NA,NA,NA,NA,NA,NA,NA
"8",101.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",101.5,NA,NA,NA,NA,NA,NA,NA
"9",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",102,NA,NA,NA,NA,NA,NA,NA
"10",102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",102.5,NA,NA,NA,NA,NA,NA,NA
"11",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",103,NA,NA,NA,NA,NA,NA,NA
"12",103.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",103.5,NA,NA,NA,NA,NA,NA,NA
"13",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",104,NA,NA,NA,NA,NA,NA,NA
"14",104.5,NA,61.0101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",104.5,0.24834569140569,0.073923595850898,0.135621413272232,0.124995095375172,0.099206981392729,NA,NA
"15",105,NA,65.1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",105,0.27707700139891,0.0859232778072037,0.154541430283434,0.14265593610875,0.11328472917586,NA,NA
"16",105.5,NA,65.8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"SB18",105.5,0.281902988071538,0.0880270232771245,0.157793995914128,0.145694199323638,0.115714506033159,NA,NA
"17",106,0,62.7715,NA,12.25,NA,NA,4.8189,NA,NA,NA,NA,172.73289,8.7,"SB18",106,0.260594240289214,0.0789313063819812,0.143595215122125,0.132435422215982,0.105128703109313,NA,NA
"18",106.5,-1.54951,61.4659,NA,12.25,NA,NA,3.6901,NA,NA,NA,NA,171.0965,8.7,"SB18",106.5,0.251515265937943,0.075204400083789,0.137671838121231,0.126907917925004,0.10072821039614,NA,NA
"19",107,-3.02102,62.7643,NA,12.25,NA,NA,5.4383,NA,NA,NA,NA,149.90849,8.7,"SB18",107,0.260544172415954,0.0789105147171241,0.14356234458241,0.132404742021158,0.105104258908447,NA,NA
