"","DEPT","SP","GR","CALI","LL8","ILM","ILD","LLD","LLS","RHOB","NPHI","DT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",52,NA,NA,NA,NA,NA,NA,NA
"2",52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",52.5,NA,NA,NA,NA,NA,NA,NA
"3",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",53,NA,NA,NA,NA,NA,NA,NA
"4",53.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",53.5,NA,NA,NA,NA,NA,NA,NA
"5",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",54,NA,NA,NA,NA,NA,NA,NA
"6",54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",54.5,NA,NA,NA,NA,NA,NA,NA
"7",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",55,NA,NA,NA,NA,NA,NA,NA
"8",55.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",55.5,NA,NA,NA,NA,NA,NA,NA
"9",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",56,NA,NA,NA,NA,NA,NA,NA
"10",56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",56.5,NA,NA,NA,NA,NA,NA,NA
"11",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",57,NA,NA,NA,NA,NA,NA,NA
"12",57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",57.5,NA,NA,NA,NA,NA,NA,NA
"13",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",58,NA,NA,NA,NA,NA,NA,NA
"14",58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",58.5,NA,NA,NA,NA,NA,NA,NA
"15",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",59,NA,NA,NA,NA,NA,NA,NA
"16",59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",59.5,NA,NA,NA,NA,NA,NA,NA
"17",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",60,NA,NA,NA,NA,NA,NA,NA
"18",60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",60.5,NA,NA,NA,NA,NA,NA,NA
"19",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",61,NA,NA,NA,NA,NA,NA,NA
"20",61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",61.5,NA,NA,NA,NA,NA,NA,NA
"21",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",62,NA,NA,NA,NA,NA,NA,NA
"22",62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",62.5,NA,NA,NA,NA,NA,NA,NA
"23",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",63,NA,NA,NA,NA,NA,NA,NA
"24",63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",63.5,NA,NA,NA,NA,NA,NA,NA
"25",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",64,NA,NA,NA,NA,NA,NA,NA
"26",64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",64.5,NA,NA,NA,NA,NA,NA,NA
"27",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",65,NA,NA,NA,NA,NA,NA,NA
"28",65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",65.5,NA,NA,NA,NA,NA,NA,NA
"29",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",66,NA,NA,NA,NA,NA,NA,NA
"30",66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",66.5,NA,NA,NA,NA,NA,NA,NA
"31",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",67,NA,NA,NA,NA,NA,NA,NA
"32",67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",67.5,NA,NA,NA,NA,NA,NA,NA
"33",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",68,NA,NA,NA,NA,NA,NA,NA
"34",68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",68.5,NA,NA,NA,NA,NA,NA,NA
"35",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",69,NA,NA,NA,NA,NA,NA,NA
"36",69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",69.5,NA,NA,NA,NA,NA,NA,NA
"37",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",70,NA,NA,NA,NA,NA,NA,NA
"38",70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",70.5,NA,NA,NA,NA,NA,NA,NA
"39",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",71,NA,NA,NA,NA,NA,NA,NA
"40",71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",71.5,NA,NA,NA,NA,NA,NA,NA
"41",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",72,NA,NA,NA,NA,NA,NA,NA
"42",72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",72.5,NA,NA,NA,NA,NA,NA,NA
"43",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",73,NA,NA,NA,NA,NA,NA,NA
"44",73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",73.5,NA,NA,NA,NA,NA,NA,NA
"45",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",74,NA,NA,NA,NA,NA,NA,NA
"46",74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",74.5,NA,NA,NA,NA,NA,NA,NA
"47",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",75,NA,NA,NA,NA,NA,NA,NA
"48",75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",75.5,NA,NA,NA,NA,NA,NA,NA
"49",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",76,NA,NA,NA,NA,NA,NA,NA
"50",76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",76.5,NA,NA,NA,NA,NA,NA,NA
"51",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB19",77,NA,NA,NA,NA,NA,NA,NA
