"","DEPT","SP","GR","CALI","SFL_A","ILM","ILD","LLD","LLS","RHOB","NPHI","DT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1",25,NA,20.8245,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",25,0.00388183915470008,0.000830436491293237,0.00178063951563459,0.0016035926474065,0.00129730366768186,NA,NA
"2",25.5,NA,20.6153,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",25.5,0.00194045557553859,0.000414085554757729,0.000888909131071494,0.000800306960242692,0.000647656357439416,NA,NA
"3",26,NA,20.4062,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",26,0,0,0,0,0,NA,NA
"4",26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",26.5,NA,NA,NA,NA,NA,NA,NA
"5",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",27,NA,NA,NA,NA,NA,NA,NA
"6",27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",27.5,NA,NA,NA,NA,NA,NA,NA
"7",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",28,NA,NA,NA,NA,NA,NA,NA
"8",28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",28.5,NA,NA,NA,NA,NA,NA,NA
"9",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",29,NA,NA,NA,NA,NA,NA,NA
"10",29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",29.5,NA,NA,NA,NA,NA,NA,NA
"11",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",30,NA,NA,NA,NA,NA,NA,NA
"12",30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",30.5,NA,NA,NA,NA,NA,NA,NA
"13",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",31,NA,NA,NA,NA,NA,NA,NA
"14",31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",31.5,NA,NA,NA,NA,NA,NA,NA
"15",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",32,NA,NA,NA,NA,NA,NA,NA
"16",32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",32.5,NA,NA,NA,NA,NA,NA,NA
"17",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",33,NA,NA,NA,NA,NA,NA,NA
"18",33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",33.5,NA,NA,NA,NA,NA,NA,NA
"19",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",34,NA,NA,NA,NA,NA,NA,NA
"20",34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",34.5,NA,NA,NA,NA,NA,NA,NA
"21",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",35,NA,NA,NA,NA,NA,NA,NA
"22",35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",35.5,NA,NA,NA,NA,NA,NA,NA
"23",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",36,NA,NA,NA,NA,NA,NA,NA
"24",36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",36.5,NA,NA,NA,NA,NA,NA,NA
"25",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",37,NA,NA,NA,NA,NA,NA,NA
"26",37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",37.5,NA,NA,NA,NA,NA,NA,NA
"27",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",38,NA,NA,NA,NA,NA,NA,NA
"28",38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",38.5,NA,NA,NA,NA,NA,NA,NA
"29",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",39,NA,NA,NA,NA,NA,NA,NA
"30",39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",39.5,NA,NA,NA,NA,NA,NA,NA
"31",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",40,NA,NA,NA,NA,NA,NA,NA
"32",40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",40.5,NA,NA,NA,NA,NA,NA,NA
"33",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",41,NA,NA,NA,NA,NA,NA,NA
"34",41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",41.5,NA,NA,NA,NA,NA,NA,NA
"35",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",42,NA,NA,NA,NA,NA,NA,NA
"36",42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",42.5,NA,NA,NA,NA,NA,NA,NA
"37",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",43,NA,NA,NA,NA,NA,NA,NA
"38",43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",43.5,NA,NA,NA,NA,NA,NA,NA
"39",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",44,NA,NA,NA,NA,NA,NA,NA
"40",44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",44.5,NA,NA,NA,NA,NA,NA,NA
"41",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",45,NA,NA,NA,NA,NA,NA,NA
"42",45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",45.5,NA,NA,NA,NA,NA,NA,NA
"43",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",46,NA,NA,NA,NA,NA,NA,NA
"44",46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",46.5,NA,NA,NA,NA,NA,NA,NA
"45",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",47,NA,NA,NA,NA,NA,NA,NA
"46",47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",47.5,NA,NA,NA,NA,NA,NA,NA
"47",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",48,NA,NA,NA,NA,NA,NA,NA
