"","DEPT","SP","GR","CALI","BITSIZE","LLD","LLS","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1",43,NA,37.2558,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",43,0.0604007206191053,0.0139065379611568,0.0288217807818382,0.0261449453187574,0.0209783102437648,NA,NA
"2",43.5,NA,37.3437,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",43.5,0.0610550574167513,0.0140692973545188,0.029147416914285,0.0264423524776969,0.0212152166528147,NA,NA
"3",44,NA,37.3037,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",44,0.0607572932312469,0.013995197779776,0.0289991954731534,0.0263069753400216,0.0211073827039406,NA,NA
"4",44.5,NA,37.2159,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",44.5,0.0601037008440647,0.0138327474995862,0.0286740638733294,0.0260100466361344,0.0208708435736995,NA,NA
"5",45,NA,37.6118,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",45,0.0630508218700946,0.0145674131119369,0.0301424520365384,0.0273513688633307,0.0219391272947284,NA,NA
"6",45.5,NA,38.1879,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",45.5,0.0673393705518218,0.0156464413868825,0.0322899449511433,0.0293144250335033,0.0235015080220914,NA,NA
"7",46,NA,38.7034,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",46,0.0711768064925099,0.016622079120501,0.034222396311766,0.0310822868912877,0.0249074926890654,NA,NA
"8",46.5,NA,39.3395,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",46.5,0.0759120014524937,0.0178392747263847,0.0366211529206079,0.0332784977681528,0.0266528478331114,NA,NA
"9",47,NA,39.364,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",47,0.0760943820161151,0.0178864524546622,0.0367138586194735,0.033363413877211,0.0267203040198189,NA,NA
"10",47.5,NA,38.7578,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",47.5,0.0715817657847959,0.0167255980324829,0.0344269255418457,0.0312694709125694,0.0250563049638344,NA,NA
"11",48,NA,38.2282,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",48,0.0676393679687175,0.0157223678560578,0.0324406471413341,0.0294522452965951,0.0236111515689996,NA,NA
"12",48.5,NA,38.2023,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",48.5,0.0674465656586034,0.0156735647331392,0.0323437866764524,0.0293636634926153,0.0235406805923478,NA,NA
"13",49,NA,38.6332,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",49,0.0706542303469496,0.0164886528414879,0.0339586330020287,0.0308409131396881,0.0247155838170983,NA,NA
"14",49.5,NA,39.5798,NA,NA,NA,NA,NA,NA,NA,NA,"TL1",49.5,0.0777008197969114,0.0183029561765763,0.0375314388185177,0.0341124182925152,0.0273152164039835,NA,NA
"15",50,NA,40.235,NA,NA,NA,NA,NA,59.3407,NA,NA,"TL1",50,0.0825781971554736,0.0195780869635583,0.0400249158583053,0.0363980748577837,0.0291297188281403,NA,NA
"16",50.5,NA,40.6097,NA,NA,NA,NA,NA,56.8214,NA,NA,"TL1",50.5,0.0853675031631861,0.0203145182803007,0.0414584978036937,0.0377130557646725,0.0301730319903127,NA,NA
"17",51,NA,40.6249,NA,NA,NA,NA,NA,54.7977,NA,NA,"TL1",51,0.0854806535536778,0.0203445035260734,0.0415167692602655,0.0377665197413188,0.0302154416510561,NA,NA
"18",51.5,NA,40.4849,NA,NA,NA,NA,NA,53.2683,NA,NA,"TL1",51.5,0.0844384789044124,0.0200686523692139,0.040980403933899,0.0372744445296656,0.0298250827131344,NA,NA
"19",52,NA,39.9193,NA,NA,NA,NA,NA,55.6963,NA,NA,"TL1",52,0.0802280933213801,0.0189616896983956,0.038821360095737,0.0352945839001773,0.0282538670275086,NA,NA
"20",52.5,NA,39.4317,NA,NA,NA,NA,NA,58.8618,NA,NA,"TL1",52.5,0.0765983479000813,0.0180169318289593,0.0369701509646487,0.0335981858990719,0.0269067932396584,NA,NA
"21",53,NA,38.7078,NA,NA,NA,NA,NA,60.2736,NA,NA,"TL1",53,0.0712095605529153,0.0166304479780014,0.0342389348495467,0.0310974223425204,0.0249195258404977,NA,NA
"22",53.5,NA,38.0329,NA,NA,NA,NA,NA,60.6018,NA,NA,"TL1",53.5,0.0661855343329922,0.0153549603162188,0.0317109048898564,0.0287849548969268,0.0230802296663267,NA,NA
"23",54,NA,37.4149,NA,NA,NA,NA,NA,60.176,NA,NA,"TL1",54,0.0615850776669491,0.0142013346859855,0.0294114025088314,0.0266834819810609,0.0214072715427134,NA,NA
"24",54.5,NA,37.0884,NA,NA,NA,NA,NA,59.4943,NA,NA,"TL1",54.5,0.0591545775027694,0.0135973273513711,0.0282024436703826,0.0255794054489797,0.0205277320450671,NA,NA
"25",55,NA,36.8354,NA,NA,NA,NA,NA,59.1564,NA,NA,"TL1",55,0.057271219029454,0.0131318732564206,0.0272684365925824,0.0247267981521209,0.0198482278113724,NA,NA
"26",55.5,NA,36.5003,NA,NA,NA,NA,NA,59.2477,NA,NA,"TL1",55.5,0.0547766995653909,0.0125188273224469,0.0260350867168129,0.0236014394562443,0.0189509467322172,NA,NA
"27",56,NA,36.01,NA,NA,NA,NA,NA,59.9457,NA,NA,"TL1",56,0.0511268550615705,0.0116288898445139,0.0242381848129677,0.021962918286573,0.0176436616415246,NA,NA
"28",56.5,NA,36.0471,NA,NA,NA,NA,NA,59.7029,NA,NA,"TL1",56.5,0.0514030313436259,0.0116959386619037,0.0243738349851181,0.0220865682379172,0.0177423508594333,NA,NA
"29",57,NA,36.5576,NA,NA,NA,NA,NA,59.795,NA,NA,"TL1",57,0.0552032467611259,0.0126233765494993,0.0262456796321543,0.0237935520701951,0.0191041565664423,NA,NA
"30",57.5,NA,36.2927,NA,NA,NA,NA,NA,60.8528,NA,NA,"TL1",57.5,0.053231303442623,0.012140998025544,0.0252731429043289,0.0229065012605507,0.018396618467516,NA,NA
"31",58,NA,35.9589,NA,NA,NA,NA,NA,60.8533,NA,NA,"TL1",58,0.0507464613145887,0.0115366173050042,0.0240514309065688,0.0217926973035711,0.017507792791253,NA,NA
"32",58.5,NA,34.818,NA,NA,NA,NA,NA,60.8539,NA,NA,"TL1",58.5,0.0422534823335392,0.00949973426888358,0.0199073547595994,0.0180190940549489,0.0144927399316233,NA,NA
"33",59,NA,34.0287,NA,NA,NA,NA,NA,60.8544,NA,NA,"TL1",59,0.0363778505430735,0.00811631385606468,0.0170688112279868,0.0154384364976259,0.0124273367127477,NA,NA
"34",59.5,NA,34.4247,NA,NA,NA,NA,NA,60.855,NA,NA,"TL1",59.5,0.0393257159795671,0.00880778442315012,0.0184900478775483,0.0167301209576343,0.0134614939174958,NA,NA
"35",60,NA,35.2323,NA,NA,NA,NA,NA,60.0403,NA,NA,"TL1",60,0.0453375748849011,0.010234271397302,0.021406572336887,0.0193834763799641,0.0155835381811398,NA,NA
"36",60.5,NA,35.7963,NA,NA,NA,NA,NA,57.445,NA,NA,"TL1",60.5,0.0495360499005133,0.0112436046730183,0.0234578355406302,0.0212517431432624,0.0170759328065739,NA,NA
"37",61,NA,35.6396,NA,NA,NA,NA,NA,57.7875,NA,NA,"TL1",61,0.0483695587037998,0.0109620834917276,0.0228867207146871,0.0207314081405918,0.0166604244881394,NA,NA
"38",61.5,NA,35.2776,NA,NA,NA,NA,NA,59.0204,NA,NA,"TL1",61.5,0.0456747928249849,0.0103149393898656,0.0215708874553844,0.0195330698447482,0.0157030877961975,NA,NA
"39",62,NA,34.7479,NA,NA,NA,NA,NA,60.0199,NA,NA,"TL1",62,0.0417316505984427,0.00937602347930416,0.0196543189788229,0.0177889078654516,0.0143086320894123,NA,NA
"40",62.5,NA,33.8572,NA,NA,NA,NA,NA,60.021,NA,NA,"TL1",62.5,0.0351011865977233,0.0078184696656974,0.0164551009720152,0.0148809402708012,0.0119807546693958,NA,NA
"41",63,NA,33.0694,NA,NA,NA,NA,NA,60.022,NA,NA,"TL1",63,0.029236720964214,0.00646275607254681,0.0136498825759276,0.0123348066641413,0.00993930205525028,NA,NA
"42",63.5,NA,32.5971,NA,NA,NA,NA,NA,60.023,NA,NA,"TL1",63.5,0.0257208703438707,0.00565970466456102,0.0119790069465405,0.0108199567993543,0.00872320235241681,NA,NA
"43",64,NA,32.3243,NA,NA,NA,NA,NA,60.024,NA,NA,"TL1",64,0.0236901185987307,0.00519915141116086,0.0110176148115423,0.00994893206076308,0.00802342343473469,NA,NA
"44",64.5,NA,32.7288,NA,NA,NA,NA,NA,60.025,NA,NA,"TL1",64.5,0.026701258924644,0.00588290652368994,0.0124441090540816,0.0112414973486179,0.00906172596915234,NA,NA
"45",65,NA,32.7767,NA,NA,NA,NA,NA,60.0261,NA,NA,"TL1",65,0.0270578315367855,0.0059642255196683,0.012613426021876,0.0113949811749856,0.00918496058980243,NA,NA
"46",65.5,NA,32.5318,NA,NA,NA,NA,NA,60.0271,NA,NA,"TL1",65.5,0.0252347703110348,0.00554924380150291,0.0117486325389162,0.0106111969318901,0.00855552117822743,NA,NA
"47",66,NA,32.2118,NA,NA,NA,NA,NA,60.0281,NA,NA,"TL1",66,0.0228526568269995,0.00500992128461734,0.0106219338229864,0.00959057133540919,0.00773540193286021,NA,NA
"48",66.5,NA,31.7086,NA,NA,NA,NA,NA,60.0291,NA,NA,"TL1",66.5,0.0191067833733541,0.00416847287908812,0.00885770856194134,0.00799366605605512,0.00645110098379604,NA,NA
"49",67,NA,31.2203,NA,NA,NA,NA,NA,60.0301,NA,NA,"TL1",67,0.015471827078809,0.00335963205759636,0.00715445914690228,0.00645340641111636,0.00521102507888558,NA,NA
"50",67.5,NA,31.9566,NA,NA,NA,NA,NA,60.0312,NA,NA,"TL1",67.5,0.0209529213234814,0.00458216695576427,0.00972605462140178,0.00877946877554203,0.00708325029864179,NA,NA
"51",68,NA,33.4923,NA,NA,NA,NA,NA,60.0322,NA,NA,"TL1",68,0.0323848328154594,0.00718798312045278,0.0151529201293956,0.0136985866512855,0.0110331487230355,NA,NA
"52",68.5,NA,34.5265,NA,NA,NA,NA,NA,60.0332,NA,NA,"TL1",68.5,0.0400835258316758,0.00898638754092498,0.0188563456076545,0.0170631696963326,0.0137280202466755,NA,NA
"53",69,NA,35.3127,NA,NA,NA,NA,NA,60.0342,NA,NA,"TL1",69,0.045936080897765,0.010377491716788,0.0216982572960373,0.0196490357026951,0.0157957570827171,NA,NA
"54",69.5,NA,36.2361,NA,NA,NA,NA,NA,60.0352,NA,NA,"TL1",69.5,0.0528099671201342,0.0120382462902918,0.02506568981514,0.0227173305001382,0.0182456919686781,NA,NA
"55",70,NA,35.8141,NA,NA,NA,NA,NA,60.0363,NA,NA,"TL1",70,0.0496685549630627,0.0112756367677587,0.0235227685349539,0.0213109109487863,0.0171231738555451,NA,NA
"56",70.5,NA,35.3696,NA,NA,NA,NA,NA,60.0373,NA,NA,"TL1",70.5,0.046359650451645,0.0104789833015742,0.0219048323723976,0.0198371292705881,0.0159460524283221,NA,NA
"57",71,NA,35.3015,NA,NA,NA,NA,NA,60.0383,NA,NA,"TL1",71,0.0458527069258237,0.0103575274460773,0.021657610055545,0.0196120270689206,0.0157661837780159,NA,NA
"58",71.5,NA,35.6232,NA,NA,NA,NA,NA,60.0393,NA,NA,"TL1",71.5,0.0482474753877429,0.0109326685390965,0.02282700201544,0.020677006774495,0.0166169765747882,NA,NA
"59",72,NA,35.8574,NA,NA,NA,NA,NA,60.0403,NA,NA,"TL1",72,0.0499908846938712,0.0113536029995323,0.0236807733225356,0.0214548940001331,0.0172381277352581,NA,NA
"60",72.5,NA,35.5007,NA,NA,NA,NA,NA,60.0414,NA,NA,"TL1",72.5,0.0473355725696357,0.0107132442708825,0.0223812520195383,0.0202709915072568,0.0162926728554124,NA,NA
"61",73,NA,34.9519,NA,NA,NA,NA,NA,60.6839,NA,NA,"TL1",73,0.0432502479445152,0.00973649841626105,0.0203911946430179,0.018459316897026,0.0148447761475466,NA,NA
"62",73.5,NA,35.3627,NA,NA,NA,NA,NA,60.3937,NA,NA,"TL1",73.5,0.0463082861296455,0.0104666700112202,0.0218797755043989,0.0198143132218298,0.0159278221399339,NA,NA
"63",74,NA,36.4871,NA,NA,NA,NA,NA,60.9779,NA,NA,"TL1",74,0.0546784373841744,0.0124947588877919,0.0259865908108757,0.0235572016476731,0.0189156651358658,NA,NA
"64",74.5,NA,37.1822,NA,NA,NA,NA,NA,61.1766,NA,NA,"TL1",74.5,0.0598528345177772,0.0137704669970312,0.0285493478415199,0.0258961591719289,0.0207801105165999,NA,NA
"65",75,NA,36.9097,NA,NA,NA,NA,NA,60.595,NA,NA,"TL1",75,0.0578243160040285,0.013268332805659,0.0275424790785378,0.0249769237192503,0.020047597753073,NA,NA
"66",75.5,NA,36.5104,NA,NA,NA,NA,NA,59.1574,NA,NA,"TL1",75.5,0.0548518850222307,0.0125372474181345,0.026072197894121,0.0236352927604373,0.0189779457391724,NA,NA
"67",76,NA,35.7705,NA,NA,NA,NA,NA,59.8869,NA,NA,"TL1",76,0.0493439920008629,0.0111971954502326,0.0233637403488928,0.0211660053322096,0.0170074751453041,NA,NA
"68",76.5,NA,35.4078,NA,NA,NA,NA,NA,60.7262,NA,NA,"TL1",76.5,0.0466440152488017,0.0105471818877449,0.022043585290188,0.0199634782263967,0.016047002846583,NA,NA
"69",77,NA,35.28,NA,NA,NA,NA,NA,60.2415,NA,NA,"TL1",77,0.0456926586761151,0.0103192151371041,0.0215795950349391,0.0195409975853185,0.0157094230970876,NA,NA
"70",77.5,NA,34.8725,NA,NA,NA,NA,NA,60.3569,NA,NA,"TL1",77.5,0.042659186036289,0.00959602901663446,0.0201042066700201,0.0181981884312536,0.0146359676568254,NA,NA
"71",78,NA,34.1528,NA,NA,NA,NA,NA,60.0156,NA,NA,"TL1",78,0.0373016639286009,0.00833244739070315,0.0175135791128558,0.0158425678197076,0.0127509764005023,NA,NA
"72",78.5,NA,33.5979,NA,NA,NA,NA,NA,60.0166,NA,NA,"TL1",78.5,0.033170930265191,0.00736999096347436,0.0155292598485566,0.014040217853915,0.0113070196622119,NA,NA
"73",79,NA,33.4104,NA,NA,NA,NA,NA,60.0175,NA,NA,"TL1",79,0.0317751606456391,0.00704707606310477,0.014861325270306,0.0134339282844418,0.0108209450602988,NA,NA
"74",79.5,NA,33.4306,NA,NA,NA,NA,NA,60.0185,NA,NA,"TL1",79.5,0.0319255315593188,0.00708180923007547,0.0149332219865259,0.0134991798840984,0.0108732670738524,NA,NA
"75",80,NA,33.6516,NA,NA,NA,NA,NA,60.0194,NA,NA,"TL1",80,0.0335706786842307,0.00746268692632591,0.0157207945121469,0.0142141122388177,0.0114464018811725,NA,NA
"76",80.5,NA,33.5967,NA,NA,NA,NA,NA,60.0203,NA,NA,"TL1",80.5,0.0331619973396259,0.00736792063066619,0.0155249809566775,0.0140363332334321,0.0113039058435494,NA,NA
"77",81,NA,33.211,NA,NA,NA,NA,NA,60.0213,NA,NA,"TL1",81,0.0302908061808996,0.00670493276250451,0.0141524157413585,0.0127906655048249,0.0103050339170117,NA,NA
