"","DEPT","SP","GR","CALI","BITSIZE","LL8","ILM","ILD","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1",101,NA,NA,NA,12.25,NA,NA,NA,NA,-0.0724,NA,9,"WA1",101,NA,NA,NA,NA,NA,NA,NA
"2",101.5,NA,NA,NA,12.25,NA,NA,NA,NA,-0.0736,NA,9,"WA1",101.5,NA,NA,NA,NA,NA,NA,NA
"3",102,NA,NA,NA,12.25,NA,NA,NA,NA,-0.0748,NA,9,"WA1",102,NA,NA,NA,NA,NA,NA,NA
"4",102.5,NA,NA,NA,12.25,NA,NA,NA,NA,13.5165,NA,9,"WA1",102.5,NA,NA,NA,NA,NA,NA,NA
"5",103,NA,34.3222,NA,12.25,NA,NA,NA,NA,36.2902,NA,9,"WA1",103,0.0178922929003222,0.00389738846155971,0.00828767373262436,0.00747801911044066,0.00603609738165909,NA,NA
"6",103.5,NA,37.763,NA,12.25,NA,NA,NA,NA,47.3915,NA,9,"WA1",103.5,0.0354613695281093,0.00790240118701234,0.0166281359787384,0.015038109056517,0.0121066692234275,NA,NA
"7",104,NA,45.5851,NA,12.25,NA,NA,NA,NA,51.3197,NA,9,"WA1",104,0.075401811951445,0.0177074173836361,0.0363619434175528,0.0330410832829695,0.0264642383319089,NA,NA
"8",104.5,NA,48.7654,NA,12.25,NA,NA,NA,NA,50.5115,NA,9,"WA1",104.5,0.0916407489426539,0.0219901521578711,0.0447029984246796,0.0406914317663776,0.03253457840173,NA,NA
"9",105,NA,51.1488,NA,12.25,NA,NA,NA,NA,48.8741,NA,9,"WA1",105,0.103810633049451,0.0253187191009348,0.0510782557408832,0.0465525511233684,0.0371764158597578,NA,NA
"10",105.5,NA,53.5446,NA,12.25,NA,NA,NA,NA,47.3718,NA,9,"WA1",105.5,0.11604383282417,0.0287709617749082,0.0575960021323563,0.0525557785133852,0.0419246778100547,NA,NA
