"","DEPT","SP","GR","CALI","BITSIZE","MSFL","LLD","LLS","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA2",98,NA,NA,NA,NA,NA,NA,NA
"2",98.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA2",98.5,NA,NA,NA,NA,NA,NA,NA
"3",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA2",99,NA,NA,NA,NA,NA,NA,NA
"4",99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA2",99.5,NA,NA,NA,NA,NA,NA,NA
"5",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",100,NA,NA,NA,NA,NA,NA,NA
"6",100.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",100.5,NA,NA,NA,NA,NA,NA,NA
"7",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",101,NA,NA,NA,NA,NA,NA,NA
"8",101.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",101.5,NA,NA,NA,NA,NA,NA,NA
"9",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",102,NA,NA,NA,NA,NA,NA,NA
"10",102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",102.5,NA,NA,NA,NA,NA,NA,NA
"11",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",103,NA,NA,NA,NA,NA,NA,NA
"12",103.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",103.5,NA,NA,NA,NA,NA,NA,NA
"13",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",104,NA,NA,NA,NA,NA,NA,NA
"14",104.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",104.5,NA,NA,NA,NA,NA,NA,NA
"15",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",105,NA,NA,NA,NA,NA,NA,NA
"16",105.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",105.5,NA,NA,NA,NA,NA,NA,NA
"17",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",106,NA,NA,NA,NA,NA,NA,NA
"18",106.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",106.5,NA,NA,NA,NA,NA,NA,NA
"19",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",107,NA,NA,NA,NA,NA,NA,NA
"20",107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",107.5,NA,NA,NA,NA,NA,NA,NA
"21",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",108,NA,NA,NA,NA,NA,NA,NA
"22",108.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,"WA2",108.5,NA,NA,NA,NA,NA,NA,NA
"23",109,-3e-05,NA,NA,12.25,3.5321,0.2171,0.217,NA,NA,NA,8.9,"WA2",109,NA,NA,NA,NA,NA,NA,NA
"24",109.5,-1.34264,NA,NA,12.25,2.6501,0.2179,0.2162,NA,NA,NA,8.9,"WA2",109.5,NA,NA,NA,NA,NA,NA,NA
"25",110,-8.37768,NA,NA,12.25,2.7028,0.2186,0.2154,2.0251,NA,NA,8.9,"WA2",110,NA,NA,NA,NA,NA,0.403161290322581,NA
"26",110.5,-11.31062,54.7332,NA,12.25,3.0543,0.4936,0.5601,2.1233,NA,NA,8.9,"WA2",110.5,0.198724309313602,0.0551717985917318,0.104668227149285,0.0961625344665407,0.0763574970069479,0.339806451612903,NA
"27",111,-12.36866,58.2999,NA,12.25,3.0492,0.5975,1.1873,2.1852,NA,NA,8.9,"WA2",111,0.2184076713623,0.0623258780844548,0.116692294195453,0.107352095037049,0.085209495438562,0.299870967741935,NA
"28",111.5,-9.23269,59.6546,NA,12.25,3.2327,0.6436,1.7287,2.1528,NA,NA,8.9,"WA2",111.5,0.225883783894157,0.0651391785054044,0.121345928208238,0.111686674890046,0.0886433203811418,0.320774193548387,NA
"29",112,-4.46193,60.5401,NA,12.25,3.9367,0.956,2.5074,2.1325,NA,NA,8.9,"WA2",112,0.230770546754538,0.067007461621379,0.124413947900263,0.114545431337038,0.0909097035860814,0.333870967741936,NA
"30",112.5,-0.28867,59.3425,NA,12.25,4.0322,1.2298,2.9779,2.121,NA,NA,8.9,"WA2",112.5,0.224161413833485,0.0644862513362746,0.120269529739255,0.110683895135617,0.0878486574493007,0.341290322580645,NA
"31",113,-7.74022,58.2607,NA,12.25,3.4297,1.493,3.1094,2.1152,NA,NA,8.9,"WA2",113,0.218191340358204,0.0622452718865439,0.116558351953839,0.107227366354129,0.0851107295605174,0.345032258064516,NA
"32",113.5,-16.80205,57.57,NA,12.25,2.7863,1.5941,3.1469,2.1103,NA,NA,8.9,"WA2",113.5,0.214379610140626,0.0608323104797021,0.114204880753039,0.105036072959932,0.0833759373418447,0.348193548387097,NA
