DEPT,SP,GR,CALI,BITSIZE,MSFL,LL8,ILM,ILD,NPHI,RHOB,DT,MUDWGT,well_name,DEPTH
50.0,,,,,,,,,,,,,AW1,50.0
50.5,,,,,,,,,,,,,AW1,50.5
51.0,,,,,,,,,,,,,AW1,51.0
51.5,,,,,,,,,,,,,AW1,51.5
52.0,,,,,,,,,,,,,AW1,52.0
52.5,,,,,,,,,,,,,AW1,52.5
53.0,,,,,,,,,,,,,AW1,53.0
53.5,,,,,,,,,,,,,AW1,53.5
54.0,,,,,,,,,,,,,AW1,54.0
54.5,,,,,,,,,,,,,AW1,54.5
55.0,,,,,,,,,,,,,AW1,55.0
55.5,,,,,,,,,,,,,AW1,55.5
56.0,,,,,,,,,,,,,AW1,56.0
56.5,,,,,,,,,,,,,AW1,56.5
57.0,,,,,,,,,,,,,AW1,57.0
57.5,,,,,,,,,,,,,AW1,57.5
58.0,,,,,,,,,,,,,AW1,58.0
58.5,,,,,,,,,,,,,AW1,58.5
59.0,,,,,,,,,,,,,AW1,59.0
59.5,,,,,,,,,,,,,AW1,59.5
60.0,,,,,,,,,,,,,AW1,60.0
60.5,,,,,,,,,,,,,AW1,60.5
61.0,,,,,,,,,,,,,AW1,61.0
61.5,,,,,,,,,,,,,AW1,61.5
62.0,,,,,,,,,,,,,AW1,62.0
62.5,,,,,,,,,,,,,AW1,62.5
63.0,,,,,,,,,,,,,AW1,63.0
63.5,,,,,,,,,,,,,AW1,63.5
64.0,,,,,,,,,,,,,AW1,64.0
64.5,,,,,,,,,,,,,AW1,64.5
65.0,,,,,,,,,,,,,AW1,65.0
65.5,,,,,,,,,,,,,AW1,65.5
66.0,,,,,,,,,,,,,AW1,66.0
66.5,,,,,,,,,,,,,AW1,66.5
67.0,,,,,,,,,,,,,AW1,67.0
67.5,,,,,,,,,,,,,AW1,67.5
68.0,,,,,,,,,,,,,AW1,68.0
68.5,,,,,,,,,,,,,AW1,68.5
69.0,,,,,,,,,,,,,AW1,69.0
69.5,,,,,,,,,,,,,AW1,69.5
70.0,,,,,,,,,,,,,AW1,70.0
70.5,,,,,,,,,,,,,AW1,70.5
71.0,,,,,,,,,,,,,AW1,71.0
71.5,,,,,,,,,,,,,AW1,71.5
72.0,,,,,,,,,,,,,AW1,72.0
72.5,,,,,,,,,,,,,AW1,72.5
73.0,,,,,,,,,,,,,AW1,73.0
73.5,,,,,,,,,,,,,AW1,73.5
74.0,,,,,,,,,,,,,AW1,74.0
74.5,,,,,,,,,,,,,AW1,74.5
75.0,,,,,,,,,,,,,AW1,75.0
75.5,,,,,,,,,,,,,AW1,75.5
76.0,,,,,,,,,,,,,AW1,76.0
76.5,,,,,,,,,,,,,AW1,76.5
77.0,,,,,,,,,,,,,AW1,77.0
77.5,,,,,,,,,,,,,AW1,77.5
78.0,,,,,,,,,,,,,AW1,78.0
78.5,,,,,,,,,,,,,AW1,78.5
79.0,,,,,,,,,,,,,AW1,79.0
79.5,,,,,,,,,,,,,AW1,79.5
80.0,,,,,,,,,,,,,AW1,80.0
80.5,,,,,,,,,,,,,AW1,80.5
81.0,,,,,,,,,,,,,AW1,81.0
81.5,,,,,,,,,,,,,AW1,81.5
82.0,,,,,,,,,,,,,AW1,82.0
82.5,,,,,,,,,,,,,AW1,82.5
83.0,,,,,,,,,,,,,AW1,83.0
83.5,,,,,,,,,,,,,AW1,83.5
84.0,,,,,,,,,,,,,AW1,84.0
84.5,,,,,,,,,,,,,AW1,84.5
85.0,,,,,,,,,,,,,AW1,85.0
85.5,,,,,,,,,,,,,AW1,85.5
86.0,,,,,,,,,,,,,AW1,86.0
86.5,,,,,,,,,,,,,AW1,86.5
87.0,,,,,,,,,,,,,AW1,87.0
87.5,,,,,,,,,,,,,AW1,87.5
88.0,,,,,,,,,,,,,AW1,88.0
88.5,,,,,,,,,,,,,AW1,88.5
89.0,,,,,,,,,,,,,AW1,89.0
89.5,,,,,,,,,,,,,AW1,89.5
90.0,,,,,,,,,,,,,AW1,90.0
90.5,,,,,,,,,,,,,AW1,90.5
91.0,,,,,,,,,,,,,AW1,91.0
91.5,,,,,,,,,,,,,AW1,91.5
92.0,,,,,,,,,,,,,AW1,92.0
92.5,,,,,,,,,,,,,AW1,92.5
93.0,,,,,,,,,,,,,AW1,93.0
93.5,,,,,,,,,,,,,AW1,93.5
94.0,,,,,,,,,,,,,AW1,94.0
94.5,,,,,,,,,,,,,AW1,94.5
95.0,,,,,,,,,,,,,AW1,95.0
95.5,,,,,,,,,,,,,AW1,95.5
96.0,,,,,,,,,,,,,AW1,96.0
96.5,,,,,,,,,,,,,AW1,96.5
97.0,,,,,,,,,,,,,AW1,97.0
97.5,,,,,,,,,,,,,AW1,97.5
98.0,,,,,,,,,,,,,AW1,98.0
98.5,,,,,,,,,,,,,AW1,98.5
99.0,,,,,,,,,,,,,AW1,99.0
99.5,,,,,,,,,,,,,AW1,99.5
100.0,,,,,,,,,,,,,AW1,100.0
100.5,,,,,,,,,,,,,AW1,100.5
101.0,,,,,,,,,,,,,AW1,101.0
101.5,,,,,,,,,,,,,AW1,101.5
102.0,,,,,,,,,,,,,AW1,102.0
102.5,,,,,,,,,,,,,AW1,102.5
103.0,,,,,,,,,,,,,AW1,103.0
103.5,,,,,,,,,,,,,AW1,103.5
104.0,,,,,,,,,,,,,AW1,104.0
104.5,,,,,,,,,,,,,AW1,104.5
105.0,,,,,,,,,,,,,AW1,105.0
105.5,,,,,,,,,,,,,AW1,105.5
106.0,,,,,,,,,,,,,AW1,106.0
106.5,,,,,,,,,,,,,AW1,106.5
107.0,,,,,,,,,,,,,AW1,107.0
107.5,,,,,,,,,,,,,AW1,107.5
108.0,,,,,,,,,,,,8.7,AW1,108.0
108.5,,,,,,,,,,,,8.7,AW1,108.5
109.0,,,,,,,,,,,,8.7,AW1,109.0
109.5,,,,,,,,,,,,8.7,AW1,109.5
110.0,,,,,,,,,,,,8.7,AW1,110.0
110.5,,,,,,,,,,,,8.7,AW1,110.5
111.0,,,,,,,,,,,,8.7,AW1,111.0
111.5,,,,,,,,,,,,8.7,AW1,111.5
112.0,,,,,,,,,,,,8.7,AW1,112.0
112.5,,,,,,,,,,,,8.7,AW1,112.5
113.0,,,,,,,,,,,,8.7,AW1,113.0
113.5,,,,,,,,,,,,8.7,AW1,113.5
114.0,,,,,,,,,,,,8.7,AW1,114.0
114.5,,,,,,,,,,,,8.7,AW1,114.5
115.0,,,,,,,,,,,,8.7,AW1,115.0
115.5,,,,,,,,,,,,8.7,AW1,115.5
116.0,-43.85513,,16.9148,17.5,,,,,,1.9995,,8.7,AW1,116.0
116.5,-48.63065,,16.9181,17.5,,,,,,1.9995,,8.7,AW1,116.5
117.0,-50.68695,,16.9175,17.5,,,,,,1.9995,,8.7,AW1,117.0
117.5,-51.47714,,16.9148,17.5,,,,,,1.9995,,8.7,AW1,117.5
118.0,-52.57184,,16.912,17.5,,,,,,1.9995,,8.7,AW1,118.0
118.5,-53.78506,,16.9092,17.5,,,,,,1.9996,,8.7,AW1,118.5
119.0,-54.26675,,16.9065,17.5,,,,,,1.9996,,8.7,AW1,119.0
119.5,-54.93655,65.7927,16.9037,17.5,,,,,,1.9996,,8.7,AW1,119.5
120.0,-55.56387,72.1131,16.9009,17.5,,,,,53.9781,2.0574,,8.7,AW1,120.0
120.5,-56.42087,75.0146,16.8982,17.5,,,,,52.3241,2.1514,,8.7,AW1,120.5
121.0,-57.21475,75.7581,16.8954,17.5,,,,,50.5196,2.3036,,8.7,AW1,121.0
121.5,-58.55566,75.9941,16.8926,17.5,,,,,48.4143,2.3251,,8.7,AW1,121.5
122.0,-59.30658,75.1265,16.8899,17.5,,,,,46.2065,2.3594,,8.7,AW1,122.0
122.5,-59.94507,74.1913,16.8871,17.5,,,,,43.3297,2.443,,8.7,AW1,122.5
123.0,-60.72928,74.6085,16.8843,17.5,,,,,40.5266,2.4684,,8.7,AW1,123.0
123.5,-61.80099,73.8862,16.8816,17.5,,,,,39.369,2.4716,,8.7,AW1,123.5
124.0,-62.4892,72.6605,16.8788,17.5,109.2503,,,,39.9786,2.4689,,8.7,AW1,124.0
124.5,-63.13919,72.6584,16.876,17.5,117.721,,28.6068,,41.0603,2.454,,8.7,AW1,124.5
125.0,-63.7807,71.0092,16.8733,17.5,121.8163,,23.6464,,42.8819,2.4153,,8.7,AW1,125.0
125.5,-64.3064,68.2174,16.8705,17.5,124.0761,,22.8328,,44.192,2.3988,,8.7,AW1,125.5
126.0,-65.00601,67.7665,16.8677,17.5,123.6072,,22.6757,,45.3681,2.3713,,8.7,AW1,126.0
126.5,-66.38321,68.2074,16.865,17.5,124.3021,,22.5904,39.9083,46.3139,2.3515,,8.7,AW1,126.5
127.0,-67.22751,68.9101,16.8622,17.5,125.3521,,22.3783,40.8774,47.2957,2.308,,8.7,AW1,127.0
127.5,-67.66049,69.6543,16.8595,17.5,122.7728,,21.8849,47.3783,49.465,2.2958,,8.7,AW1,127.5
128.0,-68.44232,70.3535,16.8567,17.5,117.9945,,21.3238,52.1036,49.8811,2.3263,,8.7,AW1,128.0
128.5,-69.47531,71.0526,16.8539,17.5,113.7226,,20.891,51.496,49.2365,2.3314,,8.7,AW1,128.5
129.0,-70.1972,70.9741,16.8512,17.5,110.1066,,20.5877,50.1759,48.2482,2.3247,,8.7,AW1,129.0
129.5,-71.29742,70.1087,16.8495,17.5,108.15,,20.4387,49.3565,47.4887,2.3517,,8.7,AW1,129.5
130.0,-73.49292,69.6721,16.8487,17.5,102.5946,,20.3795,48.7803,46.3563,2.3679,,8.7,AW1,130.0
130.5,-76.10373,70.0538,16.8478,17.5,100.6581,,20.3858,48.8479,44.5576,2.3589,,8.7,AW1,130.5
131.0,-78.54434,70.6686,16.847,17.5,99.2785,,20.6168,48.9157,44.1751,2.3528,,8.7,AW1,131.0
131.5,-82.92953,70.4461,16.8461,17.5,102.1002,,21.2441,48.7452,44.0783,2.3373,,8.7,AW1,131.5
132.0,-84.36212,69.7943,16.8453,17.5,105.4727,,21.4709,48.5207,44.089,2.3191,,8.7,AW1,132.0
