DEPT,SP,GR,CALI,BITSIZE,LL8,ILM,ILD,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
20.0,,,,12.25,,,,,,,,ES2,20.0
20.5,,,,12.25,,,,,,,,ES2,20.5
21.0,,,,12.25,,,,,,,,ES2,21.0
21.5,,,,12.25,,,,,,,,ES2,21.5
22.0,,,,12.25,,,,,,,,ES2,22.0
22.5,,,,12.25,,,,,,,,ES2,22.5
23.0,,,,12.25,,,,,,,,ES2,23.0
23.5,,,,12.25,,,,,,,,ES2,23.5
24.0,,,,12.25,,,,,,,,ES2,24.0
24.5,,,,12.25,,,,,,,,ES2,24.5
25.0,,,,12.25,,,,,,,,ES2,25.0
25.5,,,,12.25,,,,,,,,ES2,25.5
26.0,,,,12.25,,,,,,,,ES2,26.0
26.5,,,,12.25,,,,,,,,ES2,26.5
27.0,,,,12.25,,,,,,,,ES2,27.0
27.5,,,,12.25,,,,,,,,ES2,27.5
28.0,,,,12.25,,,,,,,,ES2,28.0
28.5,,,,12.25,,,,,,,,ES2,28.5
29.0,,,,12.25,,,,,,,,ES2,29.0
29.5,,,,12.25,,,,,,,,ES2,29.5
30.0,,,,12.25,,,,,,,,ES2,30.0
30.5,,,,12.25,,,,,,,,ES2,30.5
31.0,,,,12.25,,,,,,,,ES2,31.0
31.5,,,,12.25,,,,,,,,ES2,31.5
32.0,,,,12.25,,,,,,,,ES2,32.0
32.5,,,,12.25,,,,,,,,ES2,32.5
33.0,,,,12.25,,,,,,,,ES2,33.0
33.5,,,,12.25,,,,,,,,ES2,33.5
34.0,,,,12.25,,,,,,,,ES2,34.0
34.5,,,,12.25,,,,,,,,ES2,34.5
35.0,,,,12.25,,,,,,,,ES2,35.0
35.5,,,,12.25,,,,,,,,ES2,35.5
36.0,,,,12.25,,,,,,,,ES2,36.0
36.5,,,,12.25,,,,,,,,ES2,36.5
37.0,,,,12.25,,,,,,,,ES2,37.0
37.5,,,,12.25,,,,,,,,ES2,37.5
38.0,,,,12.25,,,,,,,,ES2,38.0
38.5,,,,12.25,,,,,,,,ES2,38.5
