DEPT,SP,GR,CALI,BITSIZE,LL8,ILM,ILD,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
346.0,,,,17.5,,,,,,,9.1,KG1,346.0
346.5,,,,17.5,,,,,,,9.1,KG1,346.5
347.0,,,,17.5,,,,,,,9.1,KG1,347.0
347.5,,,,17.5,,,,,,,9.1,KG1,347.5
348.0,,,,17.5,,,,,,,9.1,KG1,348.0
348.5,,,,17.5,,,,,,,9.1,KG1,348.5
349.0,,,,17.5,,,,,,,9.1,KG1,349.0
349.5,,,,17.5,,,,,,,9.1,KG1,349.5
350.0,,,,17.5,,,,,,,9.1,KG1,350.0
350.5,,,,17.5,,,,,,,9.1,KG1,350.5
351.0,,,,17.5,,,,,,,9.1,KG1,351.0
351.5,,,,17.5,,,,,,,9.1,KG1,351.5
352.0,,,,17.5,,,,,,,9.1,KG1,352.0
352.5,,,,17.5,,,,,,,9.1,KG1,352.5
353.0,,,,17.5,,,,,,,9.1,KG1,353.0
353.5,,,,17.5,,,,,,,9.1,KG1,353.5
354.0,,,,17.5,,,,,,,9.1,KG1,354.0
354.5,,,,17.5,,,,,,,9.1,KG1,354.5
355.0,,,,17.5,,,,,,,9.1,KG1,355.0
355.5,,,,17.5,,,,,,,9.1,KG1,355.5
356.0,,,,17.5,,,,,,,9.1,KG1,356.0
356.5,,,,17.5,,,,,,,9.1,KG1,356.5
357.0,,,,17.5,,,,,,,9.1,KG1,357.0
357.5,,,,17.5,,,,,,,9.1,KG1,357.5
358.0,,,,17.5,,,,,,,9.1,KG1,358.0
358.5,,,,17.5,,,,,,,9.1,KG1,358.5
359.0,,,,17.5,,,,,,,9.1,KG1,359.0
359.5,,,,17.5,,,,,,,9.1,KG1,359.5
360.0,,,,17.5,,,,,,,9.1,KG1,360.0
360.5,,,,17.5,,,,,,,9.1,KG1,360.5
361.0,,,,17.5,,,,,,,9.1,KG1,361.0
361.5,,,,17.5,,,,,,,9.1,KG1,361.5
362.0,,,,17.5,,,,,,,9.1,KG1,362.0
362.5,,,,17.5,,,,,,,9.1,KG1,362.5
363.0,,,,17.5,,,,,,,9.1,KG1,363.0
363.5,,,,17.5,,,,,,,9.1,KG1,363.5
364.0,,,,17.5,,,,,,,9.1,KG1,364.0
364.5,,,,17.5,,,,,,,9.1,KG1,364.5
365.0,,,,17.5,,,,,,,9.1,KG1,365.0
365.5,,,,17.5,,,,,,,9.1,KG1,365.5
366.0,,,,17.5,,,,,,,9.1,KG1,366.0
366.5,,,,17.5,,,,,,,9.1,KG1,366.5
