DEPT,SP,GR,CALI,BITSIZE,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
20.0,,13.8315,,,,,,,,,,,,LI1,20.0
20.5,,13.6199,,,,,,,,,,,,LI1,20.5
21.0,,13.7641,,,,,,,,,,,,LI1,21.0
21.5,,13.3958,,,,,,,,,,,,LI1,21.5
22.0,,13.0685,,,,,,,,,,,,LI1,22.0
22.5,,12.9672,,,,,,,,,,,,LI1,22.5
23.0,,12.9027,,,,,,,,,,,,LI1,23.0
23.5,,12.6,,,,,,,,,,,,LI1,23.5
24.0,,12.2418,,,,,,,,,,,,LI1,24.0
24.5,,12.231,,,,,,,,,,,,LI1,24.5
25.0,,12.474,,,,,,,,,,,,LI1,25.0
25.5,,13.0918,,,,,,,,,,,,LI1,25.5
26.0,,13.9224,,,,,,,,,,,,LI1,26.0
26.5,,14.7217,,,,,,,,,,,,LI1,26.5
27.0,,15.3995,,,,,,,,,,,,LI1,27.0
27.5,,16.0695,,,,,,,,,,,,LI1,27.5
28.0,,16.5211,,,,,,,,,,,,LI1,28.0
28.5,,16.8835,,,,,,,,,,,,LI1,28.5
29.0,,17.2717,,,,,,,,,,,,LI1,29.0
29.5,,17.8821,,,,,,,,,,,,LI1,29.5
30.0,,18.3142,,,,,,,,,,,,LI1,30.0
30.5,,18.6661,,,,,,,,,,,,LI1,30.5
31.0,,18.7564,,,,,,,,,,,,LI1,31.0
31.5,,19.0934,,,,,,,,,,,,LI1,31.5
32.0,,19.2698,,,,,,,,,,,,LI1,32.0
32.5,,18.3939,,,,,,,,,,,,LI1,32.5
33.0,,17.3363,,,,,,,,,,,,LI1,33.0
33.5,,16.7652,,,,,,,,,,,,LI1,33.5
34.0,,16.4821,,,,,,,,,,,,LI1,34.0
34.5,,15.9143,,,,,,,,,,,,LI1,34.5
35.0,,15.3618,,,,,,,,,,,,LI1,35.0
35.5,,14.9516,,,,,,,,,,,,LI1,35.5
36.0,,14.573,,,,,,,,,,,,LI1,36.0
36.5,,14.3522,,,,,,,,,,,,LI1,36.5
37.0,,14.2626,,,,,,,,,,,,LI1,37.0
37.5,,15.1541,,,,,,,,,,,,LI1,37.5
38.0,,15.4846,,,,,,,,,,,,LI1,38.0
38.5,,15.4388,,,,,,,,,,,,LI1,38.5
39.0,,15.2703,,,,,,,,,,,,LI1,39.0
39.5,,14.8376,,,,,,,,,,,,LI1,39.5
40.0,,14.829,,,,,,,,,,,,LI1,40.0
40.5,,14.963,,,,,,,,,,,,LI1,40.5
41.0,,15.097,,,,,,,,,,,,LI1,41.0
41.5,,15.4703,,,,,,,,,,,,LI1,41.5
42.0,,15.8494,,,,,,,,,,,,LI1,42.0
42.5,,15.9489,,,,,,,,,,,,LI1,42.5
