DEPT,SP,GR,CALI,BITSIZE,SFL_A,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
98.0,,,,,,,,,,,,,8.7,SB18,98.0
98.5,,,,,,,,,,,,,8.7,SB18,98.5
99.0,,,,,,,,,,,,,8.7,SB18,99.0
99.5,,,,,,,,,,,,,8.7,SB18,99.5
100.0,,,,,,,,,,,,,8.7,SB18,100.0
100.5,,,,,,,,,,,,,8.7,SB18,100.5
101.0,,,,,,,,,,,,,8.7,SB18,101.0
101.5,,,,,,,,,,,,,8.7,SB18,101.5
102.0,,,,,,,,,,,,,8.7,SB18,102.0
102.5,,,,,,,,,,,,,8.7,SB18,102.5
103.0,,,,,,,,,,,,,8.7,SB18,103.0
103.5,,,,,,,,,,,,,8.7,SB18,103.5
104.0,,,,,,,,,,,,,8.7,SB18,104.0
104.5,,61.0101,,,,,,,,,,,8.7,SB18,104.5
105.0,,65.1418,,,,,,,,,,,8.7,SB18,105.0
105.5,,65.8358,,,,,,,,,,,8.7,SB18,105.5
106.0,0.0,62.7715,,12.25,,,4.8189,,,,,172.73289,8.7,SB18,106.0
106.5,-1.54951,61.4659,,12.25,,,3.6901,,,,,171.0965,8.7,SB18,106.5
107.0,-3.02102,62.7643,,12.25,,,5.4383,,,,,149.90849,8.7,SB18,107.0
107.5,-4.56453,64.2792,,12.25,,,10.2332,,,,,203.6813,8.7,SB18,107.5
108.0,-6.50603,65.8949,,12.25,4.3195,,3.3265,,,,,154.8936,8.7,SB18,108.0
108.5,-8.73734,68.3961,,12.25,4.7678,,2.1758,,,,,179.6113,8.7,SB18,108.5
109.0,-10.83285,70.5787,,12.25,5.2719,,2.6068,,,,,187.1212,8.7,SB18,109.0
109.5,-12.59666,71.8449,,12.25,5.8294,,3.0024,,,,,185.4558,8.7,SB18,109.5
110.0,-13.55457,73.1398,,12.25,7.8862,,3.3562,,,,,186.6487,8.7,SB18,110.0
110.5,-14.89427,74.8649,,12.25,8.8199,,3.8321,,,,,182.1976,8.7,SB18,110.5
111.0,-16.06668,76.4262,,12.25,9.8202,,4.6638,,,,,180.1835,8.7,SB18,111.0
111.5,-16.96069,77.7345,,12.25,10.9338,11.4202,5.0375,,,,,178.2421,8.7,SB18,111.5
