DEPT,SP,GR,CALI,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
52.0,,,,,,,,,,,,SB19,52.0
52.5,,,,,,,,,,,,SB19,52.5
53.0,,,,,,,,,,,,SB19,53.0
53.5,,,,,,,,,,,,SB19,53.5
54.0,,,,,,,,,,,,SB19,54.0
54.5,,,,,,,,,,,,SB19,54.5
55.0,,,,,,,,,,,,SB19,55.0
55.5,,,,,,,,,,,,SB19,55.5
56.0,,,,,,,,,,,,SB19,56.0
56.5,,,,,,,,,,,,SB19,56.5
57.0,,,,,,,,,,,,SB19,57.0
57.5,,,,,,,,,,,,SB19,57.5
58.0,,,,,,,,,,,,SB19,58.0
58.5,,,,,,,,,,,,SB19,58.5
59.0,,,,,,,,,,,,SB19,59.0
59.5,,,,,,,,,,,,SB19,59.5
60.0,,,,,,,,,,,,SB19,60.0
60.5,,,,,,,,,,,,SB19,60.5
61.0,,,,,,,,,,,,SB19,61.0
61.5,,,,,,,,,,,,SB19,61.5
62.0,,,,,,,,,,,,SB19,62.0
62.5,,,,,,,,,,,,SB19,62.5
63.0,,,,,,,,,,,,SB19,63.0
63.5,,,,,,,,,,,,SB19,63.5
64.0,,,,,,,,,,,,SB19,64.0
64.5,,,,,,,,,,,,SB19,64.5
65.0,,,,,,,,,,,,SB19,65.0
65.5,,,,,,,,,,,,SB19,65.5
66.0,,,,,,,,,,,,SB19,66.0
66.5,,,,,,,,,,,,SB19,66.5
67.0,,,,,,,,,,,,SB19,67.0
67.5,,,,,,,,,,,,SB19,67.5
68.0,,,,,,,,,,,,SB19,68.0
68.5,,,,,,,,,,,,SB19,68.5
69.0,,,,,,,,,,,,SB19,69.0
69.5,,,,,,,,,,,,SB19,69.5
70.0,,,,,,,,,,,,SB19,70.0
70.5,,,,,,,,,,,,SB19,70.5
71.0,,,,,,,,,,,,SB19,71.0
71.5,,,,,,,,,,,,SB19,71.5
72.0,,,,,,,,,,,,SB19,72.0
72.5,,,,,,,,,,,,SB19,72.5
73.0,,,,,,,,,,,,SB19,73.0
73.5,,,,,,,,,,,,SB19,73.5
74.0,,,,,,,,,,,,SB19,74.0
74.5,,,,,,,,,,,,SB19,74.5
75.0,,,,,,,,,,,,SB19,75.0
75.5,,,,,,,,,,,,SB19,75.5
76.0,,,,,,,,,,,,SB19,76.0
76.5,,,,,,,,,,,,SB19,76.5
77.0,,,,,,,,,,,,SB19,77.0
77.5,,,,,,,,,,,,SB19,77.5
78.0,,,,,,,,,,,,SB19,78.0
78.5,,,,,,,,,,,,SB19,78.5
79.0,,,,,,,,,,,,SB19,79.0
79.5,,,,,,,,,,,,SB19,79.5
80.0,,,,,,,,,,,,SB19,80.0
80.5,,,,,,,,,,,,SB19,80.5
81.0,,,,,,,,,,,,SB19,81.0
81.5,,,,,,,,,,,,SB19,81.5
82.0,,,,,,,,,,,,SB19,82.0
82.5,,,,,,,,,,,,SB19,82.5
83.0,,,,,,,,,,,,SB19,83.0
83.5,,,,,,,,,,,,SB19,83.5
84.0,,,,,,,,,,,,SB19,84.0
84.5,,,,,,,,,,,,SB19,84.5
85.0,,,,,,,,,,,,SB19,85.0
85.5,,,,,,,,,,,,SB19,85.5
86.0,,,,,,,,,,,,SB19,86.0
86.5,,,,,,,,,,,,SB19,86.5
87.0,,,,,,,,,,,,SB19,87.0
87.5,,,,,,,,,,,,SB19,87.5
88.0,,,,,,,,,,,,SB19,88.0
88.5,,,,,,,,,,,,SB19,88.5
89.0,,,,,,,,,,,,SB19,89.0
89.5,,,,,,,,,,,,SB19,89.5
90.0,,,,,,,,,,,,SB19,90.0
90.5,,,,,,,,,,,,SB19,90.5
91.0,,,,,,,,,,,,SB19,91.0
91.5,,,,,,,,,,,,SB19,91.5
92.0,,,,,,,,,,,,SB19,92.0
92.5,,,,,,,,,,,,SB19,92.5
93.0,,,,,,,,,,,,SB19,93.0
93.5,,,,,,,,,,,,SB19,93.5
94.0,,,,,,,,,,,,SB19,94.0
94.5,,,,,,,,,,,,SB19,94.5
95.0,,,,,,,,,,,,SB19,95.0
95.5,,,,,,,,,,,,SB19,95.5
96.0,,,,,,,,,,,,SB19,96.0
96.5,,,,,,,,,,,,SB19,96.5
97.0,,,,,,,,,,,,SB19,97.0
97.5,,,,,,,,,,,,SB19,97.5
98.0,,,,,,,,,,,,SB19,98.0
98.5,,,,,,,,,,,,SB19,98.5
99.0,,,,,,,,,,,,SB19,99.0
99.5,,,,,,,,,,,,SB19,99.5
