DEPT,SP,GR,CALI,SFL_A,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
25.0,,20.8245,,,,,,,,,,SB20,25.0
25.5,,20.6153,,,,,,,,,,SB20,25.5
26.0,,20.4062,,,,,,,,,,SB20,26.0
26.5,,,,,,,,,,,,SB20,26.5
27.0,,,,,,,,,,,,SB20,27.0
27.5,,,,,,,,,,,,SB20,27.5
28.0,,,,,,,,,,,,SB20,28.0
28.5,,,,,,,,,,,,SB20,28.5
29.0,,,,,,,,,,,,SB20,29.0
29.5,,,,,,,,,,,,SB20,29.5
30.0,,,,,,,,,,,,SB20,30.0
30.5,,,,,,,,,,,,SB20,30.5
31.0,,,,,,,,,,,,SB20,31.0
31.5,,,,,,,,,,,,SB20,31.5
32.0,,,,,,,,,,,,SB20,32.0
32.5,,,,,,,,,,,,SB20,32.5
33.0,,,,,,,,,,,,SB20,33.0
33.5,,,,,,,,,,,,SB20,33.5
34.0,,,,,,,,,,,,SB20,34.0
34.5,,,,,,,,,,,,SB20,34.5
35.0,,,,,,,,,,,,SB20,35.0
35.5,,,,,,,,,,,,SB20,35.5
36.0,,,,,,,,,,,,SB20,36.0
36.5,,,,,,,,,,,,SB20,36.5
37.0,,,,,,,,,,,,SB20,37.0
37.5,,,,,,,,,,,,SB20,37.5
38.0,,,,,,,,,,,,SB20,38.0
38.5,,,,,,,,,,,,SB20,38.5
39.0,,,,,,,,,,,,SB20,39.0
39.5,,,,,,,,,,,,SB20,39.5
40.0,,,,,,,,,,,,SB20,40.0
40.5,,,,,,,,,,,,SB20,40.5
41.0,,,,,,,,,,,,SB20,41.0
41.5,,,,,,,,,,,,SB20,41.5
42.0,,,,,,,,,,,,SB20,42.0
42.5,,,,,,,,,,,,SB20,42.5
43.0,,,,,,,,,,,,SB20,43.0
43.5,,,,,,,,,,,,SB20,43.5
44.0,,,,,,,,,,,,SB20,44.0
44.5,,,,,,,,,,,,SB20,44.5
45.0,,,,,,,,,,,,SB20,45.0
45.5,,,,,,,,,,,,SB20,45.5
46.0,,,,,,,,,,,,SB20,46.0
46.5,,,,,,,,,,,,SB20,46.5
47.0,,,,,,,,,,,,SB20,47.0
47.5,,,,,,,,,,,,SB20,47.5
48.0,,,,,,,,,,,,SB20,48.0
48.5,,,,,,,,,,,,SB20,48.5
49.0,,,,,,,,,,,,SB20,49.0
49.5,,,,,,,,,,,,SB20,49.5
50.0,,,,,,,,,,,,SB20,50.0
50.5,,,,,,,,,,,,SB20,50.5
51.0,,,,,,,,,,,,SB20,51.0
51.5,,,,,,,,,,,,SB20,51.5
52.0,,,,,,,,,,,,SB20,52.0
52.5,,,,,,,,,,,,SB20,52.5
53.0,,,,,,,,,,,,SB20,53.0
53.5,,,,,,,,,,,,SB20,53.5
54.0,,,,,,,,,,,,SB20,54.0
54.5,,,,,,,,,,,,SB20,54.5
