DEPT,SP,GR,GRPIPE,CALI,BITSIZE,LL8,ILM,ILD,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
100.0,,25.0804,,,,,,,,,,,SE1,100.0
100.5,,25.5026,,,,,,,,,,,SE1,100.5
101.0,,25.9026,,,,,,,,,,,SE1,101.0
101.5,,26.078,,,,,,,,,,,SE1,101.5
102.0,,26.5345,,,,,,,,,,,SE1,102.0
102.5,,27.0014,,,,,,,,,,,SE1,102.5
103.0,,27.1401,,,,,,,,,,,SE1,103.0
103.5,,27.14,,,,,,,,,,,SE1,103.5
104.0,,27.1361,,,,,,,,,,,SE1,104.0
104.5,,27.138,,,,,,,,,,,SE1,104.5
105.0,,26.9694,,,,,,,,,,,SE1,105.0
105.5,,26.4643,,,,,,,,,,,SE1,105.5
106.0,,27.1482,,,,,,,,,,,SE1,106.0
106.5,,28.2365,,,,,,,,,,,SE1,106.5
107.0,,28.681,,,,,,,,,,,SE1,107.0
107.5,,28.4063,,,,,,,,,,,SE1,107.5
108.0,,27.5655,,,,,,,,,,,SE1,108.0
108.5,,26.693,,,,,,,,,,,SE1,108.5
109.0,,25.9983,,,,,,,,,,,SE1,109.0
109.5,,25.7701,,,,,,,,,,,SE1,109.5
110.0,,25.7806,,,,,,,,,,,SE1,110.0
110.5,,26.0465,,,,,,,,,,,SE1,110.5
111.0,,26.483,,,,,,,,,,,SE1,111.0
111.5,,26.8731,,,,,,,,,,,SE1,111.5
112.0,,27.5747,,,,,,,,,,,SE1,112.0
112.5,,28.2759,,,,,,,,,,,SE1,112.5
113.0,,29.2206,,,,,,,,,,,SE1,113.0
113.5,,30.8132,,,,,,,,,,,SE1,113.5
114.0,,33.0105,,,,,,,,,,,SE1,114.0
114.5,,34.9941,,,,,,,,,,,SE1,114.5
115.0,,35.3819,,,,,,,,,,8.9,SE1,115.0
115.5,,34.8682,,,,,,,,,,8.9,SE1,115.5
116.0,,33.0604,,,,,,,,,,8.9,SE1,116.0
116.5,,30.5353,,,,,,,,,,8.9,SE1,116.5
117.0,,28.8315,,,,,,,,,,8.9,SE1,117.0
117.5,,28.0484,,,,,,,,,,8.9,SE1,117.5
118.0,,26.7041,,,,,,,,,,8.9,SE1,118.0
118.5,,25.195,,,,,,,,,,8.9,SE1,118.5
119.0,,23.7184,,,,,,,,,,8.9,SE1,119.0
119.5,,22.7778,,,,,,,,,,8.9,SE1,119.5
120.0,,22.7367,,,,,,,,,,8.9,SE1,120.0
120.5,,23.2125,,,,,,,,,,8.9,SE1,120.5
121.0,,23.7983,,,,,,,,,,8.9,SE1,121.0
121.5,,24.1072,,,,,,,,,,8.9,SE1,121.5
122.0,,24.2632,,,,,,,,,,8.9,SE1,122.0
122.5,,24.4078,,,,,,,,,,8.9,SE1,122.5
123.0,,24.626,,,,,,,,,,8.9,SE1,123.0
123.5,,25.0447,,,,,,,,,,8.9,SE1,123.5
124.0,,26.0261,,,,,,,,,,8.9,SE1,124.0
124.5,,27.3451,,,,,,,,,,8.9,SE1,124.5
125.0,,28.1614,,18.4352,17.5,,2.5052,2.4881,,,,8.9,SE1,125.0
125.5,,28.6709,,18.4827,17.5,,2.2789,2.2624,,,,8.9,SE1,125.5
126.0,,27.6702,,17.6583,17.5,,2.2842,2.313,,,,8.9,SE1,126.0
126.5,,26.7012,,18.3728,17.5,,2.5964,2.6534,,,,8.9,SE1,126.5
127.0,,26.4604,,18.6864,17.5,,3.1127,3.7652,,,,8.9,SE1,127.0
127.5,,27.0349,,18.8078,17.5,,3.832,6.2429,,,,8.9,SE1,127.5
128.0,,27.7426,,18.9063,17.5,,6.6213,15.2123,,,,8.9,SE1,128.0
128.5,,28.4503,,18.9118,17.5,,14.3916,19.6973,,,,8.9,SE1,128.5
129.0,,29.6997,,18.9185,17.5,,21.3135,23.8841,,,,8.9,SE1,129.0
129.5,,31.8617,,18.9317,17.5,,26.7862,26.1618,,,,8.9,SE1,129.5
130.0,,34.3974,,18.876,17.5,,32.0214,27.8086,,,,8.9,SE1,130.0
130.5,,36.1421,,18.7589,17.5,29.411,20.7154,28.9708,,,,8.9,SE1,130.5
131.0,,38.1245,,18.4136,17.5,29.5168,11.3731,29.5651,,,,8.9,SE1,131.0
131.5,,40.1584,,19.2247,17.5,29.1753,12.2729,28.0128,,,,8.9,SE1,131.5
132.0,,42.7754,,20.6398,17.5,28.6797,15.5359,23.7839,,,,8.9,SE1,132.0
132.5,1.2567,47.8955,,21.6211,17.5,30.0957,18.6339,23.3738,,,,8.9,SE1,132.5
133.0,-0.2008,52.7062,,21.7017,17.5,32.886,16.3581,26.0444,,,,8.9,SE1,133.0
133.5,0.0,57.6547,,21.1783,17.5,34.2711,15.8817,25.8833,,,,8.9,SE1,133.5
134.0,-0.2862,62.2232,,18.0353,17.5,34.3096,16.2503,25.1399,,,,8.9,SE1,134.0
134.5,0.4998,65.8059,,17.5407,17.5,34.2491,17.2899,24.8271,,,,8.9,SE1,134.5
135.0,0.0,67.2232,,17.7073,17.5,35.4234,18.8411,28.0359,,,,8.9,SE1,135.0
135.5,1.14665,68.2845,,18.0381,17.5,36.8045,21.9858,33.6009,2.3194,38.6121,,8.9,SE1,135.5
136.0,0.4745,69.3676,,18.2716,17.5,38.1678,23.2552,40.3825,2.351,34.9726,,8.9,SE1,136.0
136.5,-0.68396,70.3301,,18.6787,17.5,39.5816,24.1924,46.9498,2.4076,32.743,,8.9,SE1,136.5
137.0,-2.87322,70.6615,,19.1169,17.5,41.0478,23.8611,48.2908,2.4737,32.0592,,8.9,SE1,137.0
137.5,-5.06247,70.7524,,19.0707,17.5,41.9521,23.2838,45.5655,2.4799,33.2871,,8.9,SE1,137.5
138.0,-7.25172,71.7646,,19.0245,17.5,42.6436,22.7629,42.1351,2.4671,34.2007,,8.9,SE1,138.0
138.5,-9.44097,73.9719,,18.9782,17.5,43.3482,22.2432,38.9629,2.4599,35.2543,,8.9,SE1,138.5
139.0,-11.33983,75.1915,,18.9239,17.5,44.0645,21.0417,36.5562,2.4508,35.566,,8.9,SE1,139.0
139.5,-12.03809,75.9077,,18.8386,17.5,44.7743,19.9265,34.2313,2.4388,34.8742,,8.9,SE1,139.5
140.0,-13.73873,76.761,,18.7331,17.5,45.2899,18.8492,32.6732,2.4292,34.028,,8.9,SE1,140.0
140.5,-16.40209,78.7363,,18.6907,17.5,44.5673,18.4403,31.9531,2.4318,33.5058,,8.9,SE1,140.5
141.0,-17.61514,81.0866,,18.7542,17.5,45.2326,18.8772,31.4774,2.444,33.0514,,8.9,SE1,141.0
141.5,-17.81819,82.0583,,19.1436,17.5,46.8583,19.6563,31.1929,2.4597,32.597,,8.9,SE1,141.5
142.0,-16.98445,82.144,,18.8287,17.5,48.7441,20.0747,30.9905,2.4828,32.1426,,8.9,SE1,142.0
142.5,-16.3374,82.0978,,18.7007,17.5,47.6823,19.914,30.9049,2.4803,31.9343,,8.9,SE1,142.5
143.0,-15.73216,81.6632,,18.742,17.5,44.2648,19.3612,30.5542,2.46,32.6243,,8.9,SE1,143.0
143.5,-15.10151,80.718,,18.6492,17.5,42.1207,18.7902,30.3569,2.4783,33.6799,,8.9,SE1,143.5
144.0,-15.60277,79.6601,,18.6359,17.5,40.8874,17.8655,29.7611,2.4969,35.1124,,8.9,SE1,144.0
144.5,-16.86372,79.1122,,18.6559,17.5,39.5686,16.9123,28.8338,2.481,36.7132,,8.9,SE1,144.5
145.0,-18.02257,79.3944,,18.6928,17.5,37.4262,16.5534,28.3688,2.4681,37.1919,,8.9,SE1,145.0
145.5,-18.22163,80.2701,,18.7312,17.5,37.1231,16.6222,27.4256,2.4661,36.3748,,8.9,SE1,145.5
146.0,-17.36588,80.3432,,18.7651,17.5,37.9445,16.6601,27.0595,2.4716,36.0617,,8.9,SE1,146.0
146.5,-16.32423,78.9618,,18.8068,17.5,38.7841,16.3979,26.6984,2.4858,35.755,,8.9,SE1,146.5
147.0,-14.50379,77.1581,,18.9309,17.5,38.3034,16.1649,26.342,2.4743,35.4372,,8.9,SE1,147.0
147.5,-14.70664,75.3089,,18.9883,17.5,37.2963,16.2179,25.9905,2.4458,35.1171,,8.9,SE1,147.5
148.0,-14.85959,74.8546,,19.0044,17.5,36.6643,16.1379,25.535,2.4263,34.9845,,8.9,SE1,148.0
148.5,-14.95405,75.3576,,19.0206,17.5,38.6516,15.6192,24.9306,2.44,35.4491,,8.9,SE1,148.5
149.0,-14.93151,76.1483,,19.0507,17.5,38.6123,14.855,24.4851,2.4326,35.2721,,8.9,SE1,149.0
149.5,-15.06366,78.6399,,19.1063,17.5,35.2874,14.4686,24.4779,2.4211,35.6508,,8.9,SE1,149.5
150.0,-13.21041,80.5658,,19.1648,17.5,32.4323,14.469,25.0353,2.4593,37.0973,,8.9,SE1,150.0
150.5,-10.96507,82.6942,,19.2174,17.5,33.7239,15.2013,25.4899,2.4413,38.658,,8.9,SE1,150.5
151.0,-9.07521,83.2385,,19.2701,17.5,35.9636,16.0194,25.3931,2.4205,38.5786,,8.9,SE1,151.0
151.5,-7.74547,83.3839,,19.3311,17.5,39.149,16.1734,25.8206,2.4163,38.4454,,8.9,SE1,151.5
152.0,-6.02372,83.1981,,19.3678,17.5,38.134,16.303,27.1171,2.4115,37.9258,,8.9,SE1,152.0
152.5,-3.82698,82.9321,,19.3457,17.5,35.9263,16.7485,28.3455,2.4364,37.4905,,8.9,SE1,152.5
153.0,-2.47103,82.8344,,19.2398,17.5,33.9345,17.4686,28.2704,2.4541,37.6014,,8.9,SE1,153.0
153.5,-0.21679,82.7717,,19.3153,17.5,35.9679,17.8188,27.5592,2.4608,37.813,,8.9,SE1,153.5
154.0,1.32066,83.2186,,19.3786,17.5,38.123,17.1296,26.5826,2.4711,37.2971,,8.9,SE1,154.0
154.5,2.25641,85.0371,,19.2491,17.5,37.7265,15.2284,25.1398,2.4472,35.4585,,8.9,SE1,154.5
155.0,1.33605,86.2566,,19.0279,17.5,34.2753,14.0953,24.8609,2.4507,36.2131,,8.9,SE1,155.0
