DEPT,SP,GR,CALI,BITSIZE,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
43.0,,37.2558,,,,,,,,,TL1,43.0
43.5,,37.3437,,,,,,,,,TL1,43.5
44.0,,37.3037,,,,,,,,,TL1,44.0
44.5,,37.2159,,,,,,,,,TL1,44.5
45.0,,37.6118,,,,,,,,,TL1,45.0
45.5,,38.1879,,,,,,,,,TL1,45.5
46.0,,38.7034,,,,,,,,,TL1,46.0
46.5,,39.3395,,,,,,,,,TL1,46.5
47.0,,39.364,,,,,,,,,TL1,47.0
47.5,,38.7578,,,,,,,,,TL1,47.5
48.0,,38.2282,,,,,,,,,TL1,48.0
48.5,,38.2023,,,,,,,,,TL1,48.5
49.0,,38.6332,,,,,,,,,TL1,49.0
49.5,,39.5798,,,,,,,,,TL1,49.5
50.0,,40.235,,,,,,59.3407,,,TL1,50.0
50.5,,40.6097,,,,,,56.8214,,,TL1,50.5
51.0,,40.6249,,,,,,54.7977,,,TL1,51.0
51.5,,40.4849,,,,,,53.2683,,,TL1,51.5
52.0,,39.9193,,,,,,55.6963,,,TL1,52.0
52.5,,39.4317,,,,,,58.8618,,,TL1,52.5
53.0,,38.7078,,,,,,60.2736,,,TL1,53.0
53.5,,38.0329,,,,,,60.6018,,,TL1,53.5
54.0,,37.4149,,,,,,60.176,,,TL1,54.0
54.5,,37.0884,,,,,,59.4943,,,TL1,54.5
55.0,,36.8354,,,,,,59.1564,,,TL1,55.0
55.5,,36.5003,,,,,,59.2477,,,TL1,55.5
56.0,,36.01,,,,,,59.9457,,,TL1,56.0
56.5,,36.0471,,,,,,59.7029,,,TL1,56.5
57.0,,36.5576,,,,,,59.795,,,TL1,57.0
57.5,,36.2927,,,,,,60.8528,,,TL1,57.5
58.0,,35.9589,,,,,,60.8533,,,TL1,58.0
58.5,,34.818,,,,,,60.8539,,,TL1,58.5
59.0,,34.0287,,,,,,60.8544,,,TL1,59.0
59.5,,34.4247,,,,,,60.855,,,TL1,59.5
60.0,,35.2323,,,,,,60.0403,,,TL1,60.0
60.5,,35.7963,,,,,,57.445,,,TL1,60.5
61.0,,35.6396,,,,,,57.7875,,,TL1,61.0
61.5,,35.2776,,,,,,59.0204,,,TL1,61.5
62.0,,34.7479,,,,,,60.0199,,,TL1,62.0
62.5,,33.8572,,,,,,60.021,,,TL1,62.5
63.0,,33.0694,,,,,,60.022,,,TL1,63.0
63.5,,32.5971,,,,,,60.023,,,TL1,63.5
64.0,,32.3243,,,,,,60.024,,,TL1,64.0
64.5,,32.7288,,,,,,60.025,,,TL1,64.5
65.0,,32.7767,,,,,,60.0261,,,TL1,65.0
65.5,,32.5318,,,,,,60.0271,,,TL1,65.5
66.0,,32.2118,,,,,,60.0281,,,TL1,66.0
66.5,,31.7086,,,,,,60.0291,,,TL1,66.5
67.0,,31.2203,,,,,,60.0301,,,TL1,67.0
67.5,,31.9566,,,,,,60.0312,,,TL1,67.5
68.0,,33.4923,,,,,,60.0322,,,TL1,68.0
68.5,,34.5265,,,,,,60.0332,,,TL1,68.5
69.0,,35.3127,,,,,,60.0342,,,TL1,69.0
69.5,,36.2361,,,,,,60.0352,,,TL1,69.5
70.0,,35.8141,,,,,,60.0363,,,TL1,70.0
70.5,,35.3696,,,,,,60.0373,,,TL1,70.5
71.0,,35.3015,,,,,,60.0383,,,TL1,71.0
71.5,,35.6232,,,,,,60.0393,,,TL1,71.5
72.0,,35.8574,,,,,,60.0403,,,TL1,72.0
72.5,,35.5007,,,,,,60.0414,,,TL1,72.5
73.0,,34.9519,,,,,,60.6839,,,TL1,73.0
73.5,,35.3627,,,,,,60.3937,,,TL1,73.5
74.0,,36.4871,,,,,,60.9779,,,TL1,74.0
74.5,,37.1822,,,,,,61.1766,,,TL1,74.5
75.0,,36.9097,,,,,,60.595,,,TL1,75.0
75.5,,36.5104,,,,,,59.1574,,,TL1,75.5
76.0,,35.7705,,,,,,59.8869,,,TL1,76.0
76.5,,35.4078,,,,,,60.7262,,,TL1,76.5
