DEPT,SP,GR,CALI,BITSIZE,MSFL,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
104.0,,28.4006,,17.5,,,,,,,,,99.4842,9.2,TU1,104.0
104.5,,,,17.5,,,,,,,,,99.5375,9.2,TU1,104.5
105.0,,,,17.5,,,,,,,,,96.0702,9.2,TU1,105.0
105.5,,,,17.5,,,,,,,,,95.4594,9.2,TU1,105.5
106.0,,,,17.5,,,,,,,,,96.6074,9.2,TU1,106.0
106.5,,,,17.5,,,,,,,,,95.4589,9.2,TU1,106.5
107.0,,,,17.5,,,,,,,,,94.8879,9.2,TU1,107.0
107.5,,,,17.5,,,,,,,,,94.3883,9.2,TU1,107.5
108.0,,,,17.5,,,,,,,,,93.3102,9.2,TU1,108.0
108.5,,,,17.5,,,,,,,,,92.1379,9.2,TU1,108.5
109.0,,,,17.5,,,,,,,,,94.0405,9.2,TU1,109.0
109.5,,,,17.5,,,,,,,,,102.2269,9.2,TU1,109.5
110.0,,,,17.5,,,,,,,,,120.1284,9.2,TU1,110.0
110.5,,,,17.5,,,,,,,,,145.2317,9.2,TU1,110.5
111.0,,,,17.5,,1.8881,4.1129,,,,,,150.782,9.2,TU1,111.0
111.5,,,,17.5,,2.1373,1.7504,,,,,,151.5414,9.2,TU1,111.5
112.0,,,,17.5,,2.4767,1.4575,,,,,,152.3008,9.2,TU1,112.0
112.5,,,,17.5,,3.5034,1.3042,,,,,,161.2477,9.2,TU1,112.5
113.0,,,,17.5,,4.8301,1.8455,,,,,,184.5172,9.2,TU1,113.0
113.5,,,,17.5,,6.6142,2.5506,,,,,,195.1823,9.2,TU1,113.5
114.0,,,,17.5,,9.1248,3.5859,,,,,,177.9668,9.2,TU1,114.0
114.5,,,,17.5,,10.4153,4.2436,,,,,,199.8338,9.2,TU1,114.5
115.0,,,,17.5,,11.8882,5.0297,15.8874,,,,,186.4183,9.2,TU1,115.0
115.5,,,,17.5,,13.5694,5.9632,28.047,,,,,173.00281,9.2,TU1,115.5
116.0,,,,17.5,,15.4883,7.3293,24.5168,,,,,159.5874,9.2,TU1,116.0
116.5,,57.339,,17.5,,17.6787,7.6009,18.0792,,,,,159.39819,9.2,TU1,116.5
117.0,,58.5775,,17.5,,19.4287,7.2058,16.125,,,,,202.6118,9.2,TU1,117.0
117.5,,59.3309,,17.5,,20.7068,7.0498,15.7445,,,,,187.15759,9.2,TU1,117.5
118.0,,59.6408,,17.5,,22.1785,7.4755,15.9983,,,,,171.70351,9.2,TU1,118.0
118.5,,59.3802,,17.5,,23.6214,7.7751,16.5192,,,,,162.02409,9.2,TU1,118.5
119.0,,58.5846,,17.5,,24.0248,7.7608,17.9897,,,,,183.2328,9.2,TU1,119.0
119.5,,56.9259,,17.5,,24.4352,7.1258,19.908,,,,,212.92799,9.2,TU1,119.5
120.0,,54.3612,,17.5,,23.4042,6.2653,18.7167,,,,,242.62331,9.2,TU1,120.0
120.5,,57.5706,,17.5,,22.1492,5.7761,17.4723,,,,,244.17059,9.2,TU1,120.5
121.0,,58.3881,,17.5,,21.3247,5.4935,15.9696,,,,,241.0325,9.2,TU1,121.0
121.5,,58.5445,,17.5,,20.5223,5.5542,13.7596,,,,,235.3932,9.2,TU1,121.5
122.0,,58.0195,,17.5,,20.4119,5.6785,12.6007,,,,,209.7933,9.2,TU1,122.0
122.5,,57.3731,,17.5,,21.2136,5.8442,11.6119,,,,,184.19341,9.2,TU1,122.5
123.0,,57.3611,,17.5,,22.0728,5.8549,11.8024,,,,,162.9966,9.2,TU1,123.0
123.5,,57.6035,,17.5,,23.7428,5.9255,12.8271,,,,,176.7785,9.2,TU1,123.5
124.0,,58.399,,17.5,,24.7145,6.2837,15.3146,,,,,150.2708,9.2,TU1,124.0
124.5,,59.6746,,17.5,,25.0343,6.7299,16.9005,,,,,150.1956,9.2,TU1,124.5
125.0,,60.715,,17.5,,25.4087,6.9597,16.7302,,,,,150.1203,9.2,TU1,125.0
125.5,,62.0148,,17.5,,25.5798,7.0304,16.2612,,,,,150.0451,9.2,TU1,125.5
126.0,,63.8631,,17.5,,24.6844,7.1016,15.965,,,,,156.6521,9.2,TU1,126.0
126.5,,65.4723,,17.5,,23.5694,7.0425,15.8132,,,,,164.90919,9.2,TU1,126.5
127.0,,63.7753,,17.5,,22.5047,7.1077,15.9893,,,,,173.1664,9.2,TU1,127.0
127.5,,62.4565,,17.5,,21.7533,7.154,16.2299,,,,,181.42349,9.2,TU1,127.5
128.0,-3.74955,61.0996,,17.5,,21.4664,7.1686,16.0397,,,,,189.68069,9.2,TU1,128.0
128.5,-2.19146,59.7705,,17.5,,21.2666,7.0808,15.7426,,,,,197.93781,9.2,TU1,128.5
129.0,-1.31326,59.2041,,17.5,,20.8217,6.9265,15.4873,,,,,204.4213,9.2,TU1,129.0
129.5,-0.43507,58.4845,,17.5,,20.5425,6.8645,14.976,,,,,205.1734,9.2,TU1,129.5
130.0,-0.13959,57.4437,,17.5,,20.6043,6.7632,14.8886,,,,,154.72369,9.2,TU1,130.0
130.5,-0.06979,56.3543,,17.5,,20.6663,6.5416,14.9705,,,,,183.6846,9.2,TU1,130.5
131.0,0.0,55.5768,,17.5,,20.7285,6.4327,15.322,,,,,204.7782,9.2,TU1,131.0
