DEPT,SP,GR,CALI,BITSIZE,LL8,ILM,ILD,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
101.0,,,,12.25,,,,,-0.0724,,9.0,WA1,101.0
101.5,,,,12.25,,,,,-0.0736,,9.0,WA1,101.5
102.0,,,,12.25,,,,,-0.0748,,9.0,WA1,102.0
102.5,,,,12.25,,,,,13.5165,,9.0,WA1,102.5
103.0,,34.3222,,12.25,,,,,36.2902,,9.0,WA1,103.0
103.5,,37.763,,12.25,,,,,47.3915,,9.0,WA1,103.5
104.0,,45.5851,,12.25,,,,,51.3197,,9.0,WA1,104.0
104.5,,48.7654,,12.25,,,,,50.5115,,9.0,WA1,104.5
105.0,,51.1488,,12.25,,,,,48.8741,,9.0,WA1,105.0
105.5,,53.5446,,12.25,,,,,47.3718,,9.0,WA1,105.5
106.0,,56.8282,12.6775,12.25,4.0386,2353.14038,94.4998,2.2545,46.5088,,9.0,WA1,106.0
106.5,,60.933,12.6786,12.25,3.7494,2354.82935,817.55109,2.2186,46.5883,,9.0,WA1,106.5
107.0,,64.5512,12.6798,12.25,5.2431,2356.51953,976.62097,2.2034,46.8319,,9.0,WA1,107.0
107.5,0.0,69.0539,12.6809,12.25,6.8727,2358.20972,197.9337,2.2092,44.9664,,9.0,WA1,107.5
108.0,0.0,70.9951,12.7416,12.25,5.7149,2359.90234,40.1156,2.2214,42.0335,,9.0,WA1,108.0
108.5,-1.73684,69.2044,12.9614,12.25,4.5885,2361.59619,8.1303,2.2825,40.3238,,9.0,WA1,108.5
109.0,-0.99238,65.6723,13.423,12.25,5.0613,1060.59521,2.2319,2.1253,39.8747,,9.0,WA1,109.0
109.5,-0.97341,63.3414,13.9049,12.25,6.053,82.167,1.7523,2.141,39.4675,,9.0,WA1,109.5
110.0,-1.77337,62.6752,13.9146,12.25,6.67,6.3657,2.1201,2.2561,40.0857,,9.0,WA1,110.0
110.5,-3.1349,63.1517,13.5253,12.25,6.9731,2.4544,2.6264,2.3177,40.6889,,9.0,WA1,110.5
111.0,-3.81743,64.0251,13.4047,12.25,7.1321,2.7406,4.5907,2.3268,40.2677,,9.0,WA1,111.0
111.5,-4.33177,64.8788,13.4562,12.25,8.0154,3.061,4.7836,2.3139,39.4879,,9.0,WA1,111.5
112.0,-4.14941,65.8733,13.8595,12.25,8.3437,3.2622,3.6592,2.275,39.5034,,9.0,WA1,112.0
112.5,-1.07405,67.0721,13.4333,12.25,7.2406,3.4136,3.3481,2.2708,40.3011,144.6073,9.0,WA1,112.5
113.0,0.50042,67.4492,13.2112,12.25,5.8327,3.3976,2.9712,2.2603,39.3173,144.2272,9.0,WA1,113.0
113.5,-0.71472,66.5118,12.7873,12.25,5.1744,3.3719,2.9776,2.3074,38.2452,143.787,9.0,WA1,113.5
114.0,-2.41777,63.5625,12.8964,12.25,6.0517,3.3336,3.3151,2.3573,37.3958,143.5484,9.0,WA1,114.0
114.5,-3.9769,59.6142,12.9686,12.25,8.21,3.2956,3.4569,2.3555,37.5981,143.481,9.0,WA1,114.5
115.0,-4.52264,57.026,12.8399,12.25,10.0633,3.2581,3.6046,2.3351,38.8659,143.40331,9.0,WA1,115.0
115.5,-2.99568,56.6819,12.9744,12.25,7.1579,3.2236,3.956,2.3116,40.4098,143.2654,9.0,WA1,115.5
116.0,-4.01892,57.0843,13.0116,12.25,5.3589,3.2486,3.9848,2.2963,41.9827,142.5452,9.0,WA1,116.0
116.5,-7.55656,56.8496,13.0487,12.25,6.4532,3.251,4.005,2.2878,41.8227,141.9505,9.0,WA1,116.5
117.0,-10.76729,55.7565,13.0859,12.25,9.027,3.2395,4.0035,2.2985,40.4814,141.483,9.0,WA1,117.0
117.5,-8.77974,55.5188,13.2887,12.25,8.8005,3.228,3.8766,2.3077,38.3907,140.6776,9.0,WA1,117.5
118.0,-4.92357,56.0473,13.2627,12.25,6.7946,3.227,3.7537,2.286,37.2378,139.8927,9.0,WA1,118.0
118.5,-6.06381,56.3853,13.1427,12.25,6.8016,3.277,3.6347,2.2767,36.8257,138.4203,9.0,WA1,118.5
119.0,-10.42605,56.338,13.1171,12.25,8.2408,3.3323,3.518,2.2783,36.2165,137.2773,9.0,WA1,119.0
119.5,-14.65759,55.741,13.115,12.25,10.8566,3.3553,3.4762,2.2876,37.2995,136.43851,9.0,WA1,119.5
120.0,-17.03294,54.5366,13.1201,12.25,13.0051,3.3364,3.5685,2.3053,38.8467,135.8615,9.0,WA1,120.0
120.5,-16.78967,53.7779,13.1408,12.25,12.8447,3.3176,3.5721,2.3322,40.4025,136.4801,9.0,WA1,120.5
121.0,-15.4512,54.1347,13.2601,12.25,11.7242,3.2589,3.5688,2.3031,40.5368,137.3636,9.0,WA1,121.0
121.5,-13.32085,55.6548,13.4894,12.25,8.6128,3.1879,3.5654,2.2817,38.7552,138.53931,9.0,WA1,121.5
122.0,-10.20619,58.3025,13.655,12.25,6.2329,3.1252,3.5519,2.2763,37.9352,139.23801,9.0,WA1,122.0
122.5,-8.41593,60.6991,13.6823,12.25,5.6535,3.1066,3.5199,2.2661,37.4246,139.5092,9.0,WA1,122.5
123.0,-8.20447,62.1333,13.6709,12.25,5.6271,3.134,3.458,2.258,37.8915,139.72639,9.0,WA1,123.0
123.5,-9.31109,61.9961,13.5772,12.25,7.0489,3.1137,3.3712,2.2216,38.881,139.6828,9.0,WA1,123.5
124.0,-9.93134,62.1548,13.331,12.25,8.5808,3.0821,3.2778,2.1971,39.9921,139.4192,9.0,WA1,124.0
124.5,-9.43447,63.7144,12.9728,12.25,6.7153,3.0509,3.2426,2.2043,40.4078,138.9995,9.0,WA1,124.5
125.0,-8.73311,65.3096,12.8548,12.25,5.913,3.055,3.4111,2.2035,39.1176,139.3015,9.0,WA1,125.0
125.5,-8.06146,65.9146,12.835,12.25,5.7967,3.0829,3.5609,2.2303,37.8274,140.76401,9.0,WA1,125.5
126.0,-7.45418,66.3304,12.8233,12.25,6.8469,3.1377,3.7173,2.2239,37.5614,143.2561,9.0,WA1,126.0
126.5,-5.44443,66.9187,12.7683,12.25,6.7683,3.1695,3.9022,2.2077,38.0655,142.2854,9.0,WA1,126.5
127.0,-2.72217,67.2967,12.6984,12.25,5.5758,3.2415,4.1434,2.1824,38.2897,140.1897,9.0,WA1,127.0
127.5,0.0,66.7011,12.635,12.25,5.2619,3.4138,4.3995,2.2464,38.2106,137.6445,9.0,WA1,127.5
128.0,-2.02325,65.494,12.8424,12.25,6.2131,3.8237,4.6714,2.3065,38.1143,134.4957,9.0,WA1,128.0
128.5,-4.85219,63.4927,13.0274,12.25,8.4738,3.9225,4.8692,2.3239,38.024,133.8333,9.0,WA1,128.5
129.0,-7.27493,63.159,13.0954,12.25,9.7267,3.9323,5.0514,2.309,37.545,133.7901,9.0,WA1,129.0
129.5,-9.06177,64.2843,13.1226,12.25,7.3659,3.9385,5.2405,2.329,37.0934,133.95151,9.0,WA1,129.5
130.0,-10.0098,66.2855,13.0695,12.25,5.4997,3.9676,5.3742,2.31,37.2494,133.82291,9.0,WA1,130.0
130.5,-11.88164,67.328,12.9533,12.25,5.6518,3.9604,5.4288,2.2784,37.671,133.5582,9.0,WA1,130.5
131.0,-12.08347,67.1508,12.8026,12.25,6.1575,3.9116,5.294,2.2919,37.9925,133.11031,9.0,WA1,131.0
131.5,-11.82892,67.1374,12.6931,12.25,5.7813,3.8285,5.0248,2.3251,38.5463,132.231,9.0,WA1,131.5
132.0,-11.53036,66.9419,12.6121,12.25,5.428,3.7354,4.6269,2.3446,39.1113,132.31911,9.0,WA1,132.0
132.5,-12.00069,68.6779,12.6874,12.25,5.7769,3.5021,4.2976,2.3538,39.6948,132.6422,9.0,WA1,132.5
133.0,-12.63894,69.8139,12.7819,12.25,6.1415,3.2419,4.0068,2.3586,40.7884,132.9137,9.0,WA1,133.0
133.5,-13.62058,70.888,12.9191,12.25,5.1829,3.001,3.8695,2.3439,42.0489,134.019,9.0,WA1,133.5
134.0,-14.96881,72.2847,13.0238,12.25,4.374,2.8133,3.7449,2.3327,43.4443,135.54201,9.0,WA1,134.0
134.5,-16.55365,72.7178,13.1311,12.25,3.8095,2.8044,3.6243,2.3557,44.8419,135.95151,9.0,WA1,134.5
135.0,-17.01879,72.8413,13.3507,12.25,4.1066,2.8061,3.5069,2.3419,45.3891,136.35561,9.0,WA1,135.0
135.5,-17.56853,72.66,13.5216,12.25,4.5653,2.8188,3.4044,2.2786,44.8918,136.3759,9.0,WA1,135.5
136.0,-18.31756,72.6385,13.7239,12.25,4.828,2.8325,3.3697,2.1936,42.2314,138.3376,9.0,WA1,136.0
136.5,-18.86011,74.2755,13.6598,12.25,4.4854,2.8601,3.3818,2.1476,38.3805,140.8544,9.0,WA1,136.5
137.0,-18.64265,75.4778,13.3728,12.25,4.4456,2.8871,3.4147,2.0913,35.7786,141.4951,9.0,WA1,137.0
137.5,-17.58649,76.9155,13.0655,12.25,4.4476,2.8791,3.4393,2.089,34.2577,140.3237,9.0,WA1,137.5
138.0,-17.29623,78.3615,14.0429,12.25,4.3579,2.8338,3.464,2.1931,34.7519,134.3927,9.0,WA1,138.0
138.5,-17.23807,79.0901,14.1944,12.25,4.2174,2.7778,3.489,2.3243,35.9504,127.3368,9.0,WA1,138.5
139.0,-17.0294,78.9312,13.4003,12.25,4.0085,2.7539,3.5328,2.3897,38.1787,126.4416,9.0,WA1,139.0
139.5,-15.98184,78.7723,12.7994,12.25,3.8375,2.8,3.6652,2.4223,39.02,129.0256,9.0,WA1,139.5
140.0,-13.59639,77.9706,12.9259,12.25,3.9366,2.9387,3.8026,2.4043,38.6075,132.1554,9.0,WA1,140.0
140.5,-11.58593,76.8997,13.0523,12.25,4.1789,3.1076,4.0164,2.3814,37.8902,133.88811,9.0,WA1,140.5
141.0,-9.78266,75.8288,13.0969,12.25,4.4876,3.2805,4.2013,2.364,37.1448,133.9995,9.0,WA1,141.0
141.5,-7.5381,74.2821,13.0982,12.25,5.1644,3.4969,4.3462,2.3747,37.1399,133.8107,9.0,WA1,141.5
142.0,-5.24864,69.6907,13.025,12.25,6.1294,3.6161,4.4961,2.3846,37.3705,132.7124,9.0,WA1,142.0
142.5,-4.79699,66.8183,12.9631,12.25,7.4738,3.671,4.6512,2.3696,36.6657,133.78999,9.0,WA1,142.5
143.0,-5.74432,65.8011,12.9038,12.25,7.5545,3.5639,4.6379,2.3404,35.8013,135.2054,9.0,WA1,143.0
143.5,-8.20215,65.4511,12.86,12.25,6.2581,3.4094,4.5609,2.3214,36.1896,136.34399,9.0,WA1,143.5
144.0,-9.97711,66.0871,12.8103,12.25,4.9526,3.2828,4.3805,2.3395,37.9695,137.1725,9.0,WA1,144.0
144.5,-9.81644,67.8256,12.8045,12.25,4.5393,3.2458,4.1905,2.3568,38.9277,137.3046,9.0,WA1,144.5
145.0,-9.56057,69.2911,12.9132,12.25,5.3673,3.1098,3.9003,2.3941,40.3018,136.7372,9.0,WA1,145.0
145.5,-9.83512,69.5458,13.0172,12.25,6.3501,2.9728,3.6978,2.4045,42.108,136.325,9.0,WA1,145.5
146.0,-10.83145,68.7249,13.1744,12.25,5.5813,2.8474,3.5976,2.3807,43.0264,137.07899,9.0,WA1,146.0
146.5,-12.31179,67.3409,13.3232,12.25,4.5677,2.8201,3.5931,2.4027,42.0774,137.7446,9.0,WA1,146.5
147.0,-9.55424,66.8016,13.3687,12.25,4.3855,3.0261,3.6664,2.3724,40.9101,138.26089,9.0,WA1,147.0
147.5,-6.43417,67.1504,13.3665,12.25,5.3189,3.1189,3.7933,2.3565,39.8683,138.8084,9.0,WA1,147.5
148.0,-4.40391,67.2687,13.2965,12.25,5.9801,3.1992,3.9357,2.3278,39.2503,137.2272,9.0,WA1,148.0
148.5,-2.93075,66.8954,13.212,12.25,5.6881,3.3581,4.0834,2.3504,38.9663,133.33929,9.0,WA1,148.5
149.0,-2.27459,65.8018,13.0899,12.25,5.0717,3.5306,4.2776,2.3462,38.3294,130.36079,9.0,WA1,149.0
149.5,-2.87653,64.4655,12.9609,12.25,5.6547,3.6877,4.4899,2.3389,37.6694,127.9274,9.0,WA1,149.5
150.0,-3.63817,63.6261,12.9471,12.25,6.4005,3.8847,4.7126,2.3618,37.6403,125.5994,9.0,WA1,150.0
150.5,-4.17701,63.0081,12.9442,12.25,7.3849,3.8759,4.9186,2.3541,37.1899,126.9566,9.0,WA1,150.5
151.0,-4.82655,63.1823,12.9355,12.25,6.2941,3.9107,5.0129,2.3457,36.2446,128.7099,9.0,WA1,151.0
151.5,-5.57139,64.0309,12.906,12.25,5.4531,3.8895,5.0993,2.3396,35.5205,129.90199,9.0,WA1,151.5
152.0,-6.53912,65.0907,12.8902,12.25,5.5863,3.8796,5.079,2.3377,34.6586,132.3723,9.0,WA1,152.0
152.5,-8.30157,65.7144,12.9218,12.25,6.8733,3.8708,5.0589,2.3634,33.8838,135.88519,9.0,WA1,152.5
153.0,-9.75059,65.6873,12.9244,12.25,7.5508,3.8682,5.069,2.3796,33.2767,141.1147,9.0,WA1,153.0
153.5,-10.68055,65.3855,12.9114,12.25,6.356,3.883,5.0795,2.3791,33.1965,145.2644,9.0,WA1,153.5
154.0,-11.06387,64.7736,12.8969,12.25,5.3502,3.9084,5.0916,2.3901,32.4793,147.87891,9.0,WA1,154.0
154.5,-11.01412,64.1607,12.9384,12.25,5.4423,3.9162,5.1222,2.3865,32.9416,144.3168,9.0,WA1,154.5
155.0,-11.28506,63.9549,12.9612,12.25,5.5357,3.9151,5.1235,2.3604,34.2056,138.98849,9.0,WA1,155.0
155.5,-11.5922,64.4718,12.9446,12.25,5.1431,3.9074,5.0855,2.3435,35.0979,130.84641,9.0,WA1,155.5
