DEPT,SP,GR,CALI,BITSIZE,MSFL,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
98.0,,,,,,,,,,,,WA2,98.0
98.5,,,,,,,,,,,,WA2,98.5
99.0,,,,,,,,,,,,WA2,99.0
99.5,,,,,,,,,,,,WA2,99.5
100.0,,,,,,,,,,,8.9,WA2,100.0
100.5,,,,,,,,,,,8.9,WA2,100.5
101.0,,,,,,,,,,,8.9,WA2,101.0
101.5,,,,,,,,,,,8.9,WA2,101.5
102.0,,,,,,,,,,,8.9,WA2,102.0
102.5,,,,,,,,,,,8.9,WA2,102.5
103.0,,,,,,,,,,,8.9,WA2,103.0
103.5,,,,,,,,,,,8.9,WA2,103.5
104.0,,,,,,,,,,,8.9,WA2,104.0
104.5,,,,,,,,,,,8.9,WA2,104.5
105.0,,,,,,,,,,,8.9,WA2,105.0
105.5,,,,,,,,,,,8.9,WA2,105.5
106.0,,,,,,,,,,,8.9,WA2,106.0
106.5,,,,,,,,,,,8.9,WA2,106.5
107.0,,,,,,,,,,,8.9,WA2,107.0
107.5,,,,,,,,,,,8.9,WA2,107.5
108.0,,,,,,,,,,,8.9,WA2,108.0
108.5,,,,,,,,,,,8.9,WA2,108.5
109.0,-3e-05,,,12.25,3.5321,0.2171,0.217,,,,8.9,WA2,109.0
109.5,-1.34264,,,12.25,2.6501,0.2179,0.2162,,,,8.9,WA2,109.5
110.0,-8.37768,,,12.25,2.7028,0.2186,0.2154,2.0251,,,8.9,WA2,110.0
110.5,-11.31062,54.7332,,12.25,3.0543,0.4936,0.5601,2.1233,,,8.9,WA2,110.5
111.0,-12.36866,58.2999,,12.25,3.0492,0.5975,1.1873,2.1852,,,8.9,WA2,111.0
111.5,-9.23269,59.6546,,12.25,3.2327,0.6436,1.7287,2.1528,,,8.9,WA2,111.5
112.0,-4.46193,60.5401,,12.25,3.9367,0.956,2.5074,2.1325,,,8.9,WA2,112.0
112.5,-0.28867,59.3425,,12.25,4.0322,1.2298,2.9779,2.121,,,8.9,WA2,112.5
113.0,-7.74022,58.2607,,12.25,3.4297,1.493,3.1094,2.1152,,,8.9,WA2,113.0
113.5,-16.80205,57.57,,12.25,2.7863,1.5941,3.1469,2.1103,,,8.9,WA2,113.5
114.0,-16.1833,56.9763,,12.25,2.5597,1.702,3.1849,2.1054,57.2327,,8.9,WA2,114.0
114.5,-15.96683,56.6548,,12.25,1.9947,1.893,3.2003,2.1016,57.4452,,8.9,WA2,114.5
115.0,-18.17847,55.962,,12.25,1.7062,2.1143,3.1996,2.092,57.5255,,8.9,WA2,115.0
115.5,-21.08091,55.6572,,12.25,1.3788,2.3315,3.2991,2.1027,57.5424,,8.9,WA2,115.5
116.0,-19.69125,56.3217,,12.25,1.0269,2.5334,3.3601,2.1411,56.8197,,8.9,WA2,116.0
116.5,-17.72029,58.7901,,12.25,0.7974,2.7529,3.3871,2.1811,56.0496,,8.9,WA2,116.5
